AchievementGroupName,AchievementName,EarnDate,Marketplace,Quantity
"Alexa Challenge Achievements",AlexaAccelerator,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaActiveDaysTracker,2021-08-31,US,0
"Alexa Challenge Achievements",AlexaBoxChecker,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaBronze7days,2021-08-27,US,0
"Alexa Challenge Achievements",AlexaCommunicator,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaDJ,2021-08-27,US,0
"Alexa Challenge Achievements",AlexaEntertainer,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaGold28days,2021-08-27,US,0
"Alexa Challenge Achievements",AlexaJokester,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaPilot,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaProdigy,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaScheduler,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaShopper,2021-08-28,US,0
"Alexa Challenge Achievements",AlexaSilver14days,2021-08-27,US,0
"Alexa Challenge Achievements",AlexaWeatherman,2021-08-27,US,0
"2024 Kindle Spring Challenge",Bibliophile,2024-04-02,US,1
"2024 Kindle Spring Challenge",Bookish,2024-04-01,US,1
"2024 Kindle Spring Challenge",Bookworm,2024-04-02,US,1
"2024 Kindle Spring Challenge",HeadStart,2024-04-01,US,1
"2024 Kindle Spring Challenge",PerfectWeek,2024-04-06,US,2
"2024 Kindle Spring Challenge",UnlimitedReader,2024-04-04,US,1
"2024 New Year Kindle Challenge",Bibliophile,2024-02-25,US,1
"2024 New Year Kindle Challenge",Bookish,2024-02-24,US,1
"2024 New Year Kindle Challenge",Bookworm,2024-02-24,US,1
"2024 New Year Kindle Challenge",BronzeReader,2024-03-08,US,1
"2024 New Year Kindle Challenge",GroundhogDay,2024-02-24,US,1
"2024 New Year Kindle Challenge",HeadStart,2024-02-23,US,2
"2024 New Year Kindle Challenge",NationalReadingMonth,2024-03-04,US,1
"2024 New Year Kindle Challenge",PageSage,2024-03-22,US,1
"2024 New Year Kindle Challenge",PerfectMonth,2024-03-31,US,1
"2024 New Year Kindle Challenge",PerfectWeek,2024-03-02,US,5
