created_timestamp,preferred_marketplace,country,device_family,ASIN,book_download_type,book_portion_download_completion_time(ms),book_ready_to_open_time(ms),book_download_status,enhanced_book_format,book_type
2024-04-10T01:42:58Z,US,US,Kindle E-reader,,B01LWVWGZW_FullBook,1415,3533,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-11T00:54:55Z,US,US,Kindle E-reader,,B01L7Q54NI_FullBook,577,2659,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-15T08:32:39Z,US,US,Kindle E-reader,,B07G5FTPGY_FullBook,1143,5910,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-06T20:22:28Z,US,US,Kindle E-reader,,B00H57X864_FullBook,652,3161,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-07T17:52:45Z,US,US,Kindle E-reader,,B00N6PD7L0_FullBook,881,5302,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-13T13:15:41Z,US,US,Kindle E-reader,,B0778CV9Y4_FullBook,1577,9356,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-06T01:56:54Z,US,US,Kindle E-reader,,B00BKK6E04_FullBook,924,2392,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-03-31T13:28:10Z,US,US,Kindle E-reader,B07ZFZZ2GQ,B0BJJTTM8K_FullBook,864,2404,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-12T08:33:32Z,US,US,Kindle E-reader,,B075HXST4P_FullBook,1721,9191,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-04T23:38:34Z,US,US,Kindle E-reader,,B008WOTQGU_FullBook,2255,7540,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-06T22:48:10Z,US,US,Kindle E-reader,,B00O6V45E6_FullBook,1944,6172,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-06T16:49:54Z,US,US,Kindle E-reader,B00BKK6E04,B00FO60CH6_FullBook,1119,2895,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-08T14:16:50Z,US,US,Kindle E-reader,B00O6V45CS,B00QE1DLIC_FullBook,1873,5938,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-13T08:32:48Z,US,US,Kindle E-reader,,B01MSWC05T_FullBook,3443,9536,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-08T14:09:07Z,US,US,Kindle E-reader,,B00O6V45CS_FullBook,785,2520,Download Completed,Yes,"Reflowable (Novels, etc.)"
2024-04-05T06:35:16Z,US,US,Kindle E-reader,B008WOTQGU,B0053VMNY2_FullBook,586,67009,Download Completed,No,"Reflowable (Novels, etc.)"
2024-04-06T00:51:58Z,US,US,Kindle E-reader,,B00AXIZ5MC_FullBook,2060,4413,Download Completed,Yes,"Reflowable (Novels, etc.)"
