created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2024-04-09T05:35:05Z,US,US,Kindle E-reader,Not Available,11906504
2024-04-08T16:50:03Z,US,US,Kindle E-reader,B00O6V45CS,1629161
2024-04-09T00:12:34Z,US,US,Kindle E-reader,B00QE1DLIC,481083
2024-04-07T00:44:27Z,US,US,Kindle E-reader,B00O6V45E6,1061991
2024-04-06T22:36:56Z,US,US,Kindle E-reader,Not Available,8157770
2024-04-07T01:09:57Z,US,US,Kindle E-reader,B00O6V45E6,1512581
2024-04-06T11:18:21Z,US,US,Kindle E-reader,B00BKK6E04,5109932
2024-04-15T20:17:46Z,US,US,Kindle E-reader,Not Available,620574
2024-03-30T20:02:44Z,US,US,Kindle E-reader,Not Available,3921015
2024-04-06T15:00:39Z,US,US,Kindle E-reader,B00BKK6E04,6934020
2024-04-06T17:24:33Z,US,US,Kindle E-reader,B00FO60CH6,7729530
2024-04-09T02:14:16Z,US,US,Kindle E-reader,B00QE1DLIC,3559635
2024-03-30T02:54:42Z,US,US,Kindle E-reader,B07ZFZZ2GQ,2940153
2024-03-31T05:38:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,2102415
2024-03-29T02:58:04Z,US,US,Kindle E-reader,Not Available,381818
2024-04-08T23:41:50Z,US,US,Kindle E-reader,B00QE1DLIC,8535
2024-04-09T00:04:30Z,US,US,Kindle E-reader,B00QE1DLIC,563936
2024-04-07T02:38:11Z,US,US,Kindle E-reader,Not Available,370805
2024-03-31T20:50:37Z,US,US,Kindle E-reader,B09Z7BYZS3,346293
2024-04-10T02:50:41Z,US,US,Kindle E-reader,Not Available,4089072
2024-04-13T16:19:39Z,US,US,Kindle E-reader,B0778CV9Y4,34577
2024-04-11T01:29:09Z,US,US,Kindle E-reader,B01L7Q54NI,2129448
2024-04-08T17:40:01Z,US,US,Kindle E-reader,Not Available,2918570
2024-04-02T04:26:00Z,US,US,Kindle E-reader,B0BHLBHG79,10791721
2024-04-05T01:34:53Z,US,US,Kindle E-reader,B008WOTQGU,482581
2024-04-07T01:47:07Z,US,US,Kindle E-reader,B00O6V45E6,1005808
2024-04-08T00:39:06Z,US,US,Kindle E-reader,B00N6PD7L0,6440513
2024-03-30T01:33:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,2351133
2024-04-07T19:54:27Z,US,US,Kindle E-reader,B00N6PD7L0,2354174
2024-04-07T20:05:41Z,US,US,Kindle E-reader,B00N6PD7L0,167390
2024-04-06T15:13:11Z,US,US,Kindle E-reader,B00BKK6E04,110501
2024-04-06T15:06:13Z,US,US,Kindle E-reader,B00BKK6E04,53523
2024-04-04T03:53:08Z,US,US,Kindle E-reader,B0BJJTTM8K,2514650
2024-04-08T21:35:49Z,US,US,Kindle E-reader,B00O6V45CS,6267236
2024-03-31T12:47:39Z,US,US,Kindle E-reader,Not Available,2908772
2024-04-07T07:14:38Z,US,US,Kindle E-reader,B00O6V45E6,10624
2024-03-31T03:15:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,4142238
2024-04-05T00:17:45Z,US,US,Kindle E-reader,B008WOTQGU,2376235
2024-04-11T02:33:27Z,US,US,Kindle E-reader,B01L7Q54NI,1212528
2024-04-08T22:50:11Z,US,US,Kindle E-reader,B00O6V45CS,217200
