created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2024-04-13T08:35:19Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T20:03:54Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-07T17:52:23Z,US,US,Kindle E-reader,B00O6V45E6,wireless,wifi,by user
2024-04-08T14:10:33Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-11T08:32:27Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-09T01:11:32Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-04T06:16:07Z,US,US,Kindle E-reader,B0BJJTTM8K,wireless,wifi,by user
2024-03-30T01:35:04Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T23:52:50Z,US,US,Kindle E-reader,B00QE1DLIC,wireless,wifi,by user
2024-04-09T02:16:43Z,US,US,Kindle E-reader,B00QE1DLIC,wireless,wifi,by user
2024-04-08T00:40:16Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-05T09:36:09Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T02:17:58Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T23:33:02Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T08:33:23Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T01:45:25Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-07T20:25:18Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-08T16:21:25Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-02T01:27:24Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-06T15:01:49Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T23:43:00Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T02:04:44Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-08T19:22:43Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-03T08:33:30Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T17:25:43Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T01:44:01Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-09T05:36:16Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-31T02:06:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-03-31T11:59:13Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-04-08T16:51:24Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
