created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-05T09:36:54Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-04T06:16:04Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T00:49:30Z,US,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-04-15T02:52:51Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-13T16:14:36Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T02:51:16Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T02:49:31Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-06T17:24:33Z,US,US,Kindle E-reader,B00FO60CH6,ACTIVE,SCREEN SAVER
2024-04-10T08:32:16Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T01:11:22Z,US,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-04-07T20:07:36Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T22:47:52Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-10T02:50:41Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-03-31T03:16:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-04-08T19:44:02Z,US,US,Kindle E-reader,B00O6V45CS,ACTIVE,SCREEN SAVER
2024-04-07T04:00:59Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T00:14:29Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T20:17:47Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-03-31T12:47:39Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-03-30T20:02:44Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-14T08:33:13Z,US,US,Kindle E-reader,B0778CV9Y4,SCREEN SAVER,ACTIVE
2024-04-05T09:31:11Z,US,US,Kindle E-reader,B008WOTQGU,ACTIVE,SCREEN SAVER
2024-04-07T03:59:04Z,US,US,Kindle E-reader,B00O6V45E6,ACTIVE,SCREEN SAVER
2024-04-08T02:04:43Z,US,US,Kindle E-reader,B00N6PD7L0,SCREEN SAVER,ACTIVE
2024-04-08T15:00:51Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T15:13:11Z,US,US,Kindle E-reader,B00BKK6E04,ACTIVE,SCREEN SAVER
2024-04-13T16:19:04Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-12T08:32:15Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-15T00:45:48Z,US,US,Kindle E-reader,B0778CV9Y4,SCREEN SAVER,ACTIVE
2024-03-31T20:50:37Z,US,US,Kindle E-reader,B09Z7BYZS3,ACTIVE,SCREEN SAVER
2024-04-05T09:34:52Z,US,US,Kindle E-reader,B008WOTQGU,SCREEN SAVER,ACTIVE
2024-04-07T01:47:14Z,US,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-03-31T05:39:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-03-31T15:38:15Z,US,US,Kindle E-reader,B09Z7BYZS3,ACTIVE,SCREEN SAVER
2024-04-06T15:08:08Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T01:10:22Z,US,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-04-11T01:29:10Z,US,US,Kindle E-reader,B01L7Q54NI,ACTIVE,SCREEN SAVER
2024-04-11T03:34:55Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
