created_timestamp,preferred_marketplace,country,device_family,ASIN,book_type,book_download_status,download_type,book_size (bytes),book_download_transfer_rate (bytes_per_second),book_download_completion_time(ms),book_ready_to_open_time(ms),network_connection_type,downloaded_book_type,isFixedFormat,software_version,isChildProfile,enhanced_book_format
2024-04-11T00:54:55Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,203151,39509,4738,2659,Wifi,Full Book Download,No,4193160020,1,Yes
2024-03-31T13:28:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Full Book,Download Completed,Single book download,915809,2404406,4901,2404,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-04T23:38:34Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,492443,176553,19898,7540,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-06T20:22:29Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,215356,60518,4612,3161,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-06T22:48:11Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,280400,24014,13639,6172,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-13T13:15:41Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,100651,8507,11592,9356,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-13T08:32:48Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,115894,4864,18390,9536,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-12T08:33:32Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,1045900,38479,62655,9191,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-06T00:51:59Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,550251,220888,7552,4413,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-06T16:49:54Z,US,US,Kindle E-reader,B00BKK6E04,Full Book,Download Completed,Single book download,1119968,228552,3560,2895,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-15T08:32:39Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,229212,9955,10585,5910,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-06T01:56:54Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,479018,284016,4659,2392,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-08T14:09:07Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,573585,108859,4586,2520,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-08T14:16:51Z,US,US,Kindle E-reader,B00O6V45CS,Full Book,Download Completed,Single book download,419940,16160,14806,5938,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-05T06:35:16Z,US,US,Kindle E-reader,B008WOTQGU,Full Book,Download Completed,Single book download,1275,1106,67009,67009,Wifi,Full Book Download,No,4193160020,1,No
2024-04-10T01:42:58Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,247214,38364,15743,3533,Wifi,Full Book Download,No,4193160020,1,Yes
2024-04-07T17:52:46Z,US,US,Kindle E-reader,,Full Book,Download Completed,Single book download,442284,29274,7479,5302,Wifi,Full Book Download,No,4193160020,1,Yes
