created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2024-03-29T02:47:17Z,US,US,Kindle E-reader,Not Available,Warmth schedule Settings screen,Clicked,Goodreads,VoiceView turned off,Warmth Schedule
2024-03-30T02:05:44Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T00:54:30Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-30T01:43:27Z,US,US,Kindle E-reader,B07ZFZZ2GQ,All Settings,Clicked,In-book,VoiceView turned off,Settings
2024-04-06T22:00:09Z,US,US,Kindle E-reader,B00H57X864,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T00:53:45Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-04T06:16:09Z,US,US,Kindle E-reader,B0BJJTTM8K,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-31T12:47:34Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-11T03:19:51Z,US,US,Kindle E-reader,B01L7Q54NI,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T17:09:32Z,US,US,Kindle E-reader,B00FO60CH6,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T00:52:58Z,US,US,Kindle E-reader,B0CYWDS6CT,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-08T02:11:10Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-10T01:42:40Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-13T13:15:19Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-07T17:52:34Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-07T21:54:30Z,US,US,Kindle E-reader,B00N6PD7L0,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-09T00:08:09Z,US,US,Kindle E-reader,B00QE1DLIC,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-07T21:54:35Z,US,US,Kindle E-reader,B00N6PD7L0,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T12:47:12Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Data sync,Clicked,In-book,VoiceView turned off,
2024-04-05T01:26:55Z,US,US,Kindle E-reader,B008WOTQGU,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T02:43:53Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,12,In-book,VoiceView turned off,
2024-03-30T01:08:53Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-11T03:24:54Z,US,US,Kindle E-reader,B01L7Q54NI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-09T00:08:14Z,US,US,Kindle E-reader,B00QE1DLIC,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-31T03:38:49Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-15T00:46:00Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-10T01:42:43Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-03-31T13:58:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T00:54:15Z,US,US,Kindle E-reader,B0CYWDS6CT,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T03:19:54Z,US,US,Kindle E-reader,B01L7Q54NI,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-06T01:48:48Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-29T02:57:44Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-29T02:57:59Z,US,US,Kindle E-reader,Not Available,Set Brightness Level,11,Home,VoiceView turned off,
2024-04-13T13:15:08Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-07T21:54:35Z,US,US,Kindle E-reader,B00N6PD7L0,Set Brightness Level,9,In-book,VoiceView turned off,
2024-03-31T02:43:46Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-13T13:15:08Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-06T22:26:57Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-04-02T10:17:21Z,US,US,Kindle E-reader,B0BHLBHG79,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T03:22:18Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T01:45:20Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T00:53:04Z,US,US,Kindle E-reader,B0CYWDS6CT,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T02:43:53Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-04T03:11:31Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-30T01:19:05Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-04T06:56:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T22:22:04Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-07T02:15:02Z,US,US,Kindle E-reader,B00O6V45E6,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T03:26:35Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T20:27:48Z,US,US,Kindle E-reader,B00H57X864,Set Brightness Level,8,In-book,VoiceView turned off,
2024-04-06T22:47:59Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-30T02:05:52Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,7,In-book,VoiceView turned off,
2024-04-09T04:05:53Z,US,US,Kindle E-reader,B00QE1DLIC,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T01:08:49Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Auto brightness,On,In-book,VoiceView turned off,
2024-04-05T01:27:02Z,US,US,Kindle E-reader,B008WOTQGU,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-30T02:05:52Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-09T00:08:14Z,US,US,Kindle E-reader,B00QE1DLIC,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-02T10:17:21Z,US,US,Kindle E-reader,B0BHLBHG79,Set Brightness Level,6,In-book,VoiceView turned off,
2024-03-30T01:44:07Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T14:28:04Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-06T02:52:21Z,US,US,Kindle E-reader,B00BKK6E04,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-06T00:52:07Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-04T06:16:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Data sync,Clicked,In-book,VoiceView turned off,
2024-03-31T03:23:17Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-04T06:56:12Z,US,US,Kindle E-reader,B0BJJTTM8K,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-29T02:57:59Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-04-13T13:15:14Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-05T09:26:02Z,US,US,Kindle E-reader,B008WOTQGU,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T12:47:31Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-31T01:05:17Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-04-05T09:25:59Z,US,US,Kindle E-reader,B008WOTQGU,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-06T10:07:26Z,US,US,Kindle E-reader,B00BKK6E04,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T01:04:39Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-06T00:52:04Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-06T02:18:10Z,US,US,Kindle E-reader,Not Available,Set Brightness Level,5,Home,VoiceView turned off,
2024-04-11T03:24:49Z,US,US,Kindle E-reader,B01L7Q54NI,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-29T02:47:00Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Goodreads,VoiceView turned off,
2024-04-08T02:11:26Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-03-30T00:54:33Z,US,US,Kindle E-reader,B0CYWDS6CT,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
