created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2024-04-04T03:11:33Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T20:07:33Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T20:21:46Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-11T00:53:49Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-15T23:48:04Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-11T00:53:49Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T00:52:04Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-05T01:26:57Z,US,US,Kindle E-reader,B008WOTQGU,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-15T00:45:53Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T01:05:13Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-04T06:16:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-03-31T01:04:46Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-06T20:22:09Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-07T17:52:34Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-02T01:27:30Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-07T17:52:34Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-07T02:38:08Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:12Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-03-31T01:04:39Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T12:47:32Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-05T01:26:57Z,US,US,Kindle E-reader,B008WOTQGU,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-04-06T22:48:01Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-31T12:47:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-04T06:16:10Z,US,US,Kindle E-reader,B0BJJTTM8K,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-03-31T12:47:32Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-02T01:27:30Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-06T20:21:46Z,US,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-31T01:05:13Z,US,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
