Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2024-03-18T03:02:41Z,US,iOS,B0CLT4QRQL,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0CLT4QRQL,Yes,Yes,Invoked By Book Menu,No,read
2024-03-23T20:43:04Z,US,iOS,B00V3MY1IQ,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B00V3MY1IQ,Yes,Yes,Invoked By Book Menu,No,read
2024-02-29T01:11:51Z,US,iOS,B09HLCTYZ8,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B09HLCTYZ8,Yes,Yes,Invoked By Book Menu,No,read
2024-03-16T20:54:37Z,US,iOS,B01M04PNMH,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01M04PNMH,Yes,Yes,Invoked By Book Menu,No,read
2024-03-09T03:34:34Z,US,iOS,B01D6TA9Y8,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01D6TA9Y8,Yes,Yes,Invoked By Book Menu,No,read
2024-03-03T07:25:56Z,US,iOS,B0BDW83LGQ,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0BDW83LGQ,Yes,Yes,Invoked By Book Menu,No,read
2024-03-16T14:40:50Z,US,iOS,B01BU2NFTO,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01BU2NFTO,Yes,Yes,Invoked By Book Menu,No,read
2024-03-03T07:25:37Z,US,iOS,B09S1CMMBT,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B09S1CMMBT,Yes,Yes,Invoked By Book Menu,No,read
2024-03-05T01:51:20Z,US,iOS,B09NJBVM8Z,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B09NJBVM8Z,Yes,Yes,Invoked By Book Menu,No,read
2024-03-03T17:24:32Z,US,iOS,B01MST9RU9,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01MST9RU9,Yes,Yes,Invoked By Book Menu,No,read
2024-03-02T05:45:31Z,US,iOS,B0994RZ2L1,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0994RZ2L1,Yes,Yes,Invoked By Book Menu,No,read
2024-03-19T05:36:27Z,US,iOS,B008673ZAQ,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B008673ZAQ,Yes,Yes,Invoked By Book Menu,No,read
2024-03-20T04:18:41Z,US,iOS,B008UCJ7KO,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B008UCJ7KO,Yes,Yes,Invoked By Book Menu,No,read
2024-03-22T11:52:26Z,US,iOS,B0B1KVSRCL,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0B1KVSRCL,Yes,Yes,Invoked By Book Menu,No,read
2024-03-14T00:07:49Z,US,iOS,B08266SRVP,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B08266SRVP,Yes,Yes,Invoked By Book Menu,No,read
2024-03-28T22:40:51Z,US,iOS,B0CYWDS6CT,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0CYWDS6CT,Yes,Yes,Invoked By Book Menu,No,read
2024-03-05T15:02:34Z,US,iOS,B07QNKVR3N,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B07QNKVR3N,Yes,Yes,Invoked By Book Menu,No,read
2024-04-04T13:47:12Z,US,iOS,B0BJJTTM8K,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0BJJTTM8K,Yes,Yes,Invoked By Book Menu,No,read
2024-03-07T03:52:39Z,US,iOS,B01KB8XC5A,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01KB8XC5A,Yes,Yes,Invoked By Book Menu,No,read
