Created Timestamp,Preferred Marketplace,Country of Residence,Device Family,ASIN,Kindle Context,Kindle Sub Context,Event type,Kindle Action ID,"Rating of the Book (1-5, 5 best)",Kindle Context ID
2024-04-06T01:45:27Z,US,US,Eink,not available,book actions,not applicable,change rating,write rating,4,none
2024-04-11T03:24:09Z,US,US,Eink,B01L7Q54NI,book actions,not applicable,change rating,write rating,4,to read
2024-04-10T02:49:47Z,US,US,Eink,B01LWVWGZW,book actions,not applicable,change rating,write rating,4,to read
2024-04-06T16:41:43Z,US,US,Eink,B00BKK6E04,book actions,not applicable,change rating,write rating,4,none
2024-03-31T14:42:26Z,US,US,Eink,B07ZFZZ2GQ,book actions,not applicable,change rating,update rating,4,read
2024-03-31T14:41:28Z,US,US,Eink,B07ZFZZ2GQ,book actions,not applicable,change rating,write rating,5,none
2024-04-08T02:49:01Z,US,US,Eink,B00N6PD7L0,book actions,not applicable,change rating,write rating,4,none
2024-04-02T10:57:44Z,US,US,Eink,B0BHLBHG79,book actions,not applicable,change rating,write rating,4,none
2024-04-09T05:34:45Z,US,US,Eink,B00QE1DLIC,book actions,not applicable,change rating,write rating,4,none
2024-04-08T22:50:51Z,US,US,Eink,B00O6V45CS,book actions,not applicable,change rating,write rating,4,none
2024-03-30T19:48:56Z,US,US,Eink,B09DTJF1WD,book actions,not applicable,change rating,write rating,4,none
