created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-04-02T01:26:18Z,US,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-08T14:16:38Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-31T13:11:54Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-30T19:47:09Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-30T01:05:26Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Fifth Book of the Campaign,tap,1
2024-04-15T00:54:35Z,US,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_18_21,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-07T03:09:18Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-30T00:51:19Z,US,US,Kindle E-reader,Not Applicable,4193160020,Tap on Card Title,Selected Campaign Header,tap,1
2024-04-13T13:15:28Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-15T00:54:29Z,US,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_6_10,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-06T02:18:10Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Third Book of the Campaign,tap,2
2024-04-15T00:54:34Z,US,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_15_19,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-06T22:48:39Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-03-30T05:39:22Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Fourth Book of the Campaign,tap,1
2024-04-10T01:42:58Z,US,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
