campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-03-29T02:45:34.502Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,1,0
2024-04-06T22:47:55.333Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-30T19:47:05.960Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B09DTJF1WD,1,2
2024-04-07T17:52:41.249Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,3
2024-04-02T01:27:18.482Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:56:01.807Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-03-29T02:45:34.564Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,2,3
2024-04-15T00:54:59.415Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,3
2024-04-04T03:11:14.714Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-06T02:17:58.597Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-06T16:50:58.793Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00BKK6E04,1,1
2024-04-15T00:45:52.609Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T02:11:28.478Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,10
2024-04-06T00:51:40.895Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-06T16:50:58.841Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00BKK6E04,1,2
2024-04-07T17:52:41.299Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,4
2024-04-06T20:21:27.792Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00FO60CH6,1,1
2024-03-30T01:04:58.241Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,4,10
2024-03-30T01:04:54.229Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,3,6
2024-04-06T02:19:10.807Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-11T00:54:58.083Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-08T02:11:30.388Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,7
2024-04-15T00:46:32.561Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-29T02:45:58.864Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,3,6
2024-04-07T17:52:46.062Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-11T03:24:56.566Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B01L7Q54NI,1,2
2024-03-30T21:34:15.200Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T02:11:31.053Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-08T22:50:19.667Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00O6V45CS,1,1
2024-04-08T02:04:45.852Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00N6PD7L0,1,1
2024-03-29T02:46:03.960Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,3,6
2024-04-07T17:52:57.341Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00H57X864,1,1
2024-03-29T02:46:02.000Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,5,13
2024-03-29T02:52:59.680Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T01:04:25.948Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T17:52:29.028Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T20:07:27.104Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-02T01:27:18.452Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T01:05:05.406Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-29T02:46:01.979Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,5,12
2024-03-29T02:45:58.918Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,3,8
2024-04-08T14:16:34.474Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-08T02:11:31.029Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,4
2024-04-13T13:15:01.801Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:46:31.930Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-29T02:45:34.608Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,2,5
2024-04-15T00:54:18.807Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-02T10:58:38.153Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B0BHLBHG79,1,2
2024-04-09T05:34:58.562Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00QE1DLIC,1,2
2024-04-11T03:24:56.803Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B01L7Q54NI,1,1
2024-04-06T22:47:55.314Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T17:53:05.186Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00H57X864,1,2
2024-04-02T10:58:38.763Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T01:05:01.545Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,6,14
2024-04-08T22:50:30.101Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00QE1DLIC,1,2
2024-04-06T01:48:40.584Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-31T12:47:27.936Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-30T19:52:44.426Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B09DTJF1WD,1,1
2024-04-08T22:51:09.278Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00O6V45CS,1,1
2024-04-08T14:06:10.460Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T22:51:09.305Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00O6V45CS,1,2
2024-03-30T19:52:44.451Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B09DTJF1WD,1,2
2024-03-31T13:11:52.064Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-31T12:47:27.914Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-08T02:04:45.872Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00N6PD7L0,1,2
2024-03-30T06:24:58.863Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-29T02:46:03.153Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,4,10
2024-03-29T02:46:00.738Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,4,9
2024-04-08T22:50:30.074Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00QE1DLIC,1,1
2024-04-06T16:50:52.504Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T17:53:05.154Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00H57X864,1,1
2024-04-08T02:49:21.018Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00N6PD7L0,1,1
2024-03-30T01:04:25.966Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,1,2
2024-04-07T17:52:41.384Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-08T02:11:31.967Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-10T02:50:39.056Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B01LWVWGZW,1,0
2024-04-02T01:27:10.201Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-31T15:13:18.424Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
