created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Continuous Scroll Setting,New Continuous Scroll Setting
2021-06-30T03:00:10Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-06-30T02:59:43Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-06-30T02:33:30Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-07-08T23:50:13Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-07-03T19:02:36Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-06-30T02:58:18Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2021-07-09T03:25:31Z,US,,Kindle for iOS,B07DZLJF1C,Off,Off
2022-04-30T15:59:44Z,US,,Kindle for iOS,B00KVRDACW,Off,Off
2022-04-30T16:19:40Z,US,,Kindle for iOS,B00KVRDACW,Off,Off
2022-04-30T15:47:38Z,US,,Kindle for iOS,B07KWL5L8Y,Off,Off
2024-03-07T20:09:29Z,US,,,B083TZV25B,Off,On
