created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Font Size Setting In Points,New Font Size Setting In Points,Old Font Slider Setting (0-20),New Font Slider Setting (0-20)
2024-02-24T21:46:21Z,US,,Kindle for iOS,B09S1CMMBT,18.4250,20.9000,5,7
2024-04-08T01:07:15Z,US,US,Kindle E-reader,B00N6PD7L0,11.5200,10.5600,5,4
2024-02-24T22:32:14Z,US,,Kindle for iOS,B09S1CMMBT,17.6000,16.5000,4,3
2024-02-25T00:07:04Z,US,,Kindle for iOS,B09S1CMMBT,17.6000,18.4250,4,5
2024-04-08T01:03:57Z,US,US,Kindle E-reader,B00N6PD7L0,10.5600,8.4000,4,2
2024-03-03T03:06:26Z,US,,Kindle for iOS,B09QY2KWKY,20.9000,19.8000,7,6
2024-03-03T03:06:28Z,US,,Kindle for iOS,B09QY2KWKY,17.6000,18.4250,4,5
2024-04-08T20:02:57Z,US,US,Kindle E-reader,B00O6V45CS,10.5600,11.5200,4,5
2024-02-24T21:46:21Z,US,,Kindle for iOS,B09S1CMMBT,20.9000,22.0000,7,8
2024-02-25T00:07:06Z,US,,Kindle for iOS,B09S1CMMBT,19.8000,18.4250,6,5
2024-04-06T17:18:29Z,US,US,Kindle E-reader,B00FO60CH6,8.4000,9.3600,2,3
2024-02-24T21:46:14Z,US,,Kindle for iOS,B09S1CMMBT,18.4250,19.8000,5,6
2024-04-08T20:04:48Z,US,US,Kindle E-reader,B00O6V45CS,10.5600,9.3600,4,3
2024-03-07T01:59:58Z,US,,Kindle for iOS,B01KB8XC5A,18.4250,19.8000,5,6
2024-03-07T05:10:06Z,US,,Kindle for iOS,B083TZV25B,19.8000,18.4250,6,5
2024-02-24T22:32:13Z,US,,Kindle for iOS,B09S1CMMBT,20.9000,19.8000,7,6
2024-03-07T01:59:58Z,US,,Kindle for iOS,B01KB8XC5A,19.8000,20.9000,6,7
2024-02-25T05:04:21Z,US,,Kindle for iOS,B09S1CMMBT,16.5000,17.6000,3,4
2024-03-01T02:39:10Z,US,,Kindle for iOS,B091SLLP6H,19.8000,20.9000,6,7
2024-02-25T00:07:05Z,US,,Kindle for iOS,B09S1CMMBT,19.8000,20.9000,6,7
2024-02-25T05:04:22Z,US,,Kindle for iOS,B09S1CMMBT,18.4250,19.8000,5,6
2024-04-08T01:04:23Z,US,US,Kindle E-reader,B00N6PD7L0,8.4000,9.3600,2,3
2024-03-12T03:20:18Z,US,,Kindle for iOS,B09P5GT746,17.6000,18.4250,4,5
2024-03-08T20:12:42Z,US,,,B01D6TA9Y8,20.9000,22.0000,4,5
2024-02-25T00:07:03Z,US,,Kindle for iOS,B09S1CMMBT,16.5000,17.6000,3,4
2024-03-01T03:03:14Z,US,,Kindle for iOS,B091SLLP6H,20.9000,19.8000,7,6
2024-04-06T17:15:25Z,US,US,Kindle E-reader,B00FO60CH6,10.5600,8.4000,4,2
2024-03-12T03:20:18Z,US,,Kindle for iOS,B09P5GT746,18.4250,19.8000,5,6
2024-02-25T00:17:32Z,US,,Kindle for iOS,B09S1CMMBT,17.6000,16.5000,4,3
2024-02-24T21:46:13Z,US,,Kindle for iOS,B09S1CMMBT,17.6000,18.4250,4,5
2024-02-25T05:04:22Z,US,,Kindle for iOS,B09S1CMMBT,19.8000,18.4250,6,5
2024-03-07T05:10:07Z,US,,Kindle for iOS,B083TZV25B,18.4250,17.6000,5,4
2024-03-01T02:39:09Z,US,,Kindle for iOS,B091SLLP6H,17.6000,18.4250,4,5
2024-03-01T03:03:14Z,US,,Kindle for iOS,B091SLLP6H,19.8000,18.4250,6,5
2024-03-03T02:08:21Z,US,,Kindle for iOS,B09QY2KWKY,18.4250,19.8000,5,6
2024-03-01T03:03:15Z,US,,Kindle for iOS,B091SLLP6H,18.4250,17.6000,5,4
2024-04-06T20:23:11Z,US,US,Kindle E-reader,B00H57X864,9.3600,10.5600,3,4
2024-02-25T05:04:21Z,US,,Kindle for iOS,B09S1CMMBT,17.6000,18.4250,4,5
2024-02-24T22:32:13Z,US,,Kindle for iOS,B09S1CMMBT,18.4250,17.6000,5,4
2024-03-03T03:06:27Z,US,,Kindle for iOS,B09QY2KWKY,19.8000,18.4250,6,5
2024-03-03T02:08:21Z,US,,Kindle for iOS,B09QY2KWKY,17.6000,18.4250,4,5
2024-03-03T02:08:21Z,US,,Kindle for iOS,B09QY2KWKY,19.8000,20.9000,6,7
