created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Reading Progress Mode,New Reading Progress Mode
2024-04-11T00:55:35Z,US,US,Kindle E-reader,B01L7Q54NI,LOCATION,NONE
2024-04-02T01:56:51Z,US,US,Kindle E-reader,B0BHLBHG79,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2024-03-12T20:18:54Z,US,,Kindle for iOS,B0CL7GMPD4,NONE,PAGE_NUMBER
2024-03-01T22:54:14Z,US,,Kindle for iOS,B0994RZ2L1,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2024-04-08T15:30:41Z,US,US,Kindle E-reader,B00O6V45CS,TIME_LEFT,LOCATION
2024-02-29T23:06:25Z,US,,Kindle for iOS,B08Y6DCS1Y,TIME_LEFT,NONE
2024-03-02T04:11:49Z,US,,Kindle for iOS,B0994RZ2L1,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2024-03-01T12:15:42Z,US,,Kindle for iOS,B0994RZ2L1,NONE,PAGE_NUMBER
2024-03-05T22:00:16Z,US,,Kindle for iOS,B07C7N5CBS,NONE,PAGE_NUMBER
2022-04-30T16:41:25Z,US,,Kindle for iOS,B00KVRDACW,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2024-04-02T03:49:43Z,US,US,Kindle E-reader,B0BHLBHG79,TIME_LEFT,LOCATION
2024-04-02T03:49:53Z,US,US,Kindle E-reader,B0BHLBHG79,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2024-04-08T15:30:44Z,US,US,Kindle E-reader,B00O6V45CS,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2024-04-08T15:30:42Z,US,US,Kindle E-reader,B00O6V45CS,NONE,PAGE_NUMBER
2024-04-07T00:27:47Z,US,US,Kindle E-reader,B00O6V45E6,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2024-02-23T22:22:56Z,US,,,Not Available,TIME_LEFT,NONE
2024-03-03T18:50:41Z,US,,Kindle for iOS,B01N5C6HP9,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2024-03-18T11:10:53Z,US,,Kindle for iOS,B00846REIS,TIME_LEFT,NONE
2024-04-11T00:55:34Z,US,US,Kindle E-reader,B01L7Q54NI,TIME_LEFT,LOCATION
