created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2024-03-03T07:00:04Z,0,US,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,13E34A33-1AEC-4C39-9FC9-FD46603E488B
2024-02-29T01:26:03Z,12,US,Home,,ExitSearch,Kindle for iOS,yes,,Yes,No Results Selected,2,D066507D-0BF5-45E5-B002-00376FD01493
2024-02-27T22:56:12Z,0,US,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,C8EBB3A7-9E03-4E08-9425-19F1CBC0E9E9
2024-02-24T19:03:54Z,15,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,6,No Results Selected,9C45D2D1-89D2-4464-BD02-2326802AF2CF
2024-03-06T12:27:03Z,0,US,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E959EE7B-6AAB-43E6-ABC9-329AB2C96344
2024-03-03T07:01:05Z,18,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,13E34A33-1AEC-4C39-9FC9-FD46603E488B
2024-02-26T00:02:51Z,17,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,4,No Results Selected,FC25841C-95D6-4910-97DE-CC2F341F50C3
2024-02-24T18:59:25Z,15,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,9C45D2D1-89D2-4464-BD02-2326802AF2CF
2024-02-26T00:01:45Z,28,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,923E324C-C78D-4CAA-80D7-5DB6A5C23E10
2024-03-27T00:39:32Z,0,US,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,FBA30373-4851-4286-A7CC-3DFB4F6D65E9
2024-02-24T02:50:10Z,11,US,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,AEBBAE2E-57E3-4502-A47D-BB0EA20BCBB0
2024-03-27T03:01:48Z,13,US,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,A22FDE96-CC1F-498C-B419-7A132C960424
2024-02-26T00:00:06Z,11,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,3,No Results Selected,99677DB7-1424-4418-BDCD-8D9625E61795
2024-04-13T12:40:09Z,9,US,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,26A6B942-7EF2-4293-956F-274BC084C552
2024-02-24T18:59:08Z,0,US,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,9C45D2D1-89D2-4464-BD02-2326802AF2CF
2024-03-23T02:50:22Z,23,US,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,9614B555-009E-449E-9FA9-6EDE71AFFD2C
