Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2022-04-30T15:49:42Z,US,Not Available,Kindle for iOS,Not Available,what to expect the first year,B099E343-3301-4A87-ADB0-67D86DCCA33D,Not Applicable,what to expect when youre expecting 2022|what to expect the first year|what to expect,what to ex,2,No refinements,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,No,Home,No Data,No refinements
2024-03-22T02:49:06Z,US,Not Available,Kindle for iOS,Not Available,fixed trilogy,97471CCA-9E6E-45CA-8B7C-25A745B40CF7,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2546E99B-23A7-427F-AF58-FC2DC4888BCB,No,Home,No Data,"store, library||SortByRelevance"
2024-03-23T02:34:43Z,US,Not Available,Kindle for iOS,Not Available,,4CE123F5-F7C8-4BAB-B567-770A1072CEC8,Not Applicable,american queen|american queen sierra simone|american queen new camelot book 1|american queen trilogy|american queen series,Not Applicable,Not Selected,||,1B13AE8F-A027-4852-B31C-2A599A20BBA2,No,Home,No Data,"store, library||SortByRelevance"
2024-02-24T20:29:13Z,US,Not Available,Kindle for iOS,Not Available,christina lauren,9C45D2D1-89D2-4464-BD02-2326802AF2CF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",0B113558-568D-46B5-B87C-54853D8F4D2C,No,Home,No Data,||SortByRelevance
2024-03-04T09:32:41Z,US,Not Available,Kindle for iOS,Not Available,cane brothers,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,kane brothers,No Search Suggestions,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Home,No Data,"store, library||SortByRelevance"
2024-02-24T18:59:22Z,US,Not Available,Kindle for iOS,Not Available,kate canterbary,9C45D2D1-89D2-4464-BD02-2326802AF2CF,Not Applicable,kate canterbary|kate canterbury|kate canterbury kindle books|kate canterbary books|kate canterbary english|kate canturbury,kate can,1,"store, library|KindleUnlimited|",0B113558-568D-46B5-B87C-54853D8F4D2C,No,Home,No Data,||SortByRelevance
2024-03-23T02:37:57Z,US,Not Available,Kindle for iOS,Not Available,,9614B555-009E-449E-9FA9-6EDE71AFFD2C,Not Applicable,fix her up tessa bailey|fix her up|fix her|fix her up a novel|fix her ip|fix her yp,fix her,1,||,1B13AE8F-A027-4852-B31C-2A599A20BBA2,No,Home,No Data,"store, library||SortByRelevance"
2024-03-27T00:39:34Z,US,Not Available,Kindle for iOS,Not Available,if you hate me helena hunting,FBA30373-4851-4286-A7CC-3DFB4F6D65E9,Not Applicable,if you hate me helena hunting|if you hate me|if you hate me the toronto terror series|if you hate me helena|if you hate me a brother's best friend hockey romance,if you hate me,1,||,3B127D8F-52EB-4A2F-A850-77487E7A5A03,No,Home,No Data,"store, library||SortByRelevance"
2024-03-03T09:05:21Z,US,Not Available,Kindle for iOS,Not Available,salacious players club,5BF491EB-5E88-4D69-AAA2-49DC43AFDD6B,Not Applicable,salacious players club|saladin|salacious players club series|salad dressing recipes|sala|salamis,sala,1,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Library,No Data,"store, library||SortByRelevance"
2024-02-25T14:34:46Z,US,Not Available,Kindle for iOS,Not Available,kay cove,729D7F9A-425B-4745-8253-858DBF506CB5,Not Applicable,kay cove|kay cove camera shy|kay cove books|kay cove whistleblower paladin book 1|kay cove paladin,kay cove,1,||,CB4FB6F5-6CF6-4A59-8A12-5FA39A5C9E77,No,Home,No Data,"store, library||SortByRelevance"
2024-03-16T01:31:45Z,US,Not Available,Kindle for iOS,Not Available,,815B4C4A-2E54-4ED1-8D9B-F57E5904B5B9,Not Applicable,tempt me|tempt me ka tucker|tempt me at twilight|tempt melanie harlow|tempt me at midnight|tempt me the wolf hotel book 1,Not Applicable,Not Selected,SortByRelevance,3D033432-49A8-49FB-BF6F-71132E6A4A29,No Data,Home,No Data,No refinements
2024-02-24T20:28:56Z,US,Not Available,Kindle for iOS,Not Available,ruby dixon,9C45D2D1-89D2-4464-BD02-2326802AF2CF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",0B113558-568D-46B5-B87C-54853D8F4D2C,No,Home,No Data,||SortByRelevance
2024-02-24T02:41:32Z,US,Not Available,Kindle for iOS,Not Available,hating game,AEBBAE2E-57E3-4502-A47D-BB0EA20BCBB0,Not Applicable,hating game|hating game a novel by sally|the hating game|the hating game sally thorne,Not Applicable,Not Selected,||,B5B9E017-4340-4561-A3F3-C099959EE2FD,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T08:33:11Z,US,Not Available,Kindle for iOS,Not Available,,C3AC1EAE-BFA4-48D0-84E7-329542459DCF,Not Applicable,so not meant to be meghan quinn|so not meant to be|so not my thing|so not happening|so not my thing melanie jacobson|so not,so not,1,"store, library||",9175B57E-B509-49E5-9AD7-0BBF3ED63535,No,Home,No Data,||SortByRelevance
2024-02-26T00:12:31Z,US,Not Available,Kindle for iOS,Not Available,not so meet cute,6C98BAA2-869D-4518-B581-0F48A1B4FDCC,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",9175B57E-B509-49E5-9AD7-0BBF3ED63535,No,Home,No Data,||SortByRelevance
2024-03-28T02:33:44Z,US,Not Available,Kindle for iOS,Not Available,katee roberts,5D3F3BE5-4398-448E-8592-519FB9E8B36E,Not Applicable,katee roberts books|katee robertt|katee roberts wicked villains series|katee roberts books dark olympus series|katee roberts dark olympus series|katee robert theirs for the night,Not Applicable,Not Selected,"store, library||",808B5A1C-ACFA-4CA9-8ECE-129AEEFD7C7F,No,Home,No Data,||SortByRelevance
2024-04-10T03:13:45Z,US,Not Available,Kindle for iOS,Not Available,entice me,E427BED3-DF06-44A4-A5E6-16042BA89A54,Not Applicable,entice me|entice me j kenner|entice me hamilton,Not Applicable,Not Selected,||,89A0030E-DB5D-44B3-B698-BA9219B2E055,No,Home,No Data,"store, library||SortByRelevance"
2024-02-25T23:59:53Z,US,Not Available,Kindle for iOS,Not Available,emily henry,8ADDF78B-17AD-45ED-829D-D75E0B8C72CF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",7E0693E8-F008-4CDA-A81B-4BC6CF946E2D,No,Home,No Data,||SortByRelevance
2024-02-29T01:03:07Z,US,Not Available,Kindle for iOS,Not Available,meghan quinn,D066507D-0BF5-45E5-B002-00376FD01493,Not Applicable,meghan quinn|meghan quinn kindle books|meghan march|meghan quinn vancouver agitators series|meghan quinn almond bay series|meghan quinn books,megh,1,||,C99F2CF7-105F-406F-99F3-DCF0BED2C227,No,Home,No Data,"store, library||SortByRelevance"
2024-03-22T02:40:45Z,US,Not Available,Kindle for iOS,Not Available,hacker series,A70D4867-DF95-49CA-9D46-72631FB2DB91,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,B89A0714-12AC-40C0-930F-AF48D7156B04,No,Home,No Data,"store, library||SortByRelevance"
2024-04-09T23:34:27Z,US,Not Available,Kindle for iOS,Not Available,steal my heart,D2E0AD88-1FE4-4408-ACF9-58E63484BAD7,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,16E7F110-3BFB-4C76-A761-ABBCCEA233B3,No,Home,No Data,"store, library||SortByRelevance"
2024-03-02T14:57:41Z,US,Not Available,Kindle for iOS,Not Available,twisted lies,60E4EFA2-9611-483B-9A78-0D68B02D4FDE,Not Applicable,twisted lies|twisted lies anna huang|twisted lies ana huang|twisted lies roxy collins|twisted lies audiobook|twisted lies series,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:13:08Z,US,Not Available,Kindle for iOS,Not Available,wolf hotel,6AFEDDD5-6F74-4CCD-A183-68EBAFB94493,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,C91DAEC3-492D-4EF7-A3E9-744A23761457,No,Home,No Data,"store, library||SortByRelevance"
2024-04-13T12:40:29Z,US,Not Available,Kindle for iOS,Not Available,lost with me,FF9A785F-A2D4-4163-B699-44DFCF911E75,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,41358C2F-8B7E-4D62-948D-018113EE7A74,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:12:32Z,US,Not Available,Kindle for iOS,Not Available,crossfire,FEB00C80-39ED-49A9-BD5A-7A6677C5DD2F,Not Applicable,crossfire series sylvia day kindle|crossfire|crossfire book 4|crossfire series|crossfire book series|crossfire lynette eason,Not Applicable,Not Selected,||,EB3EC288-44D6-463D-ACFD-F4A0E8AAE57E,No,Home,No Data,"store, library||SortByRelevance"
2024-04-14T20:08:54Z,US,Not Available,Kindle for iOS,Not Available,lost with me,C34805A4-CD55-41E2-BB5F-B290B3F32888,Not Applicable,lost with me|lost with me the stark saga book 5,Not Applicable,Not Selected,||,ED32617B-4C0A-4310-9012-C0652FF64461,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:02:38Z,US,Not Available,Kindle for iOS,Not Available,,FC25841C-95D6-4910-97DE-CC2F341F50C3,Not Applicable,beautiful bastards book 1|beautiful bastards series,Not Applicable,Not Selected,"store, library||",49783150-F60F-430F-B7F7-98715FD9EBDC,No,Home,No Data,||SortByRelevance
2024-03-27T02:36:41Z,US,Not Available,Kindle for iOS,Not Available,in death,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T18:47:38Z,US,Not Available,Kindle for iOS,Not Available,mine serial killer,8C0269F2-B12C-44C5-BA39-5248A4929E21,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,C96E4CDC-E0C9-47AC-B7E2-0257831FCAD5,No,Home,No Data,"store, library||SortByRelevance"
