Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Search ID,Search Session ID,Search Result Selected Position,Search Result Section Position,Search Result Section Position Shown,Total Store Search Results Found,Search Outcome,Selected Search Result Value,Search Outcome Type,Search Action Sequence Number,Specialized Content ID
2022-04-30T15:49:42Z,US,Not Available,Kindle for iOS,Not Available,B099E343-3301-4A87-ADB0-67D86DCCA33D,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,1,1,Store,228,Product Detail Page Opened,B00KVRDACW,ASIN,1,No Data
2024-03-04T00:15:09Z,US,Not Available,Kindle for iOS,Not Available,EB309CB5-CA58-4B6C-982C-71D74EFA15C2,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,Store,264,Product Detail Page Opened,B08BZWXK9J,ASIN,1,No Data
2024-04-11T03:44:31Z,US,Not Available,Kindle for iOS,Not Available,6A22E7D1-0F18-42B6-BA62-3AA04B281728,9358ED55-42D1-4B4D-B864-CBE4F1F5E91C,1,1,Store,97,Product Detail Page Opened,B01K8ORQOK,ASIN,1,No Data
2024-03-07T04:48:50Z,US,Not Available,Kindle for iOS,Not Available,E959EE7B-6AAB-43E6-ABC9-329AB2C96344,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,6,2,Library|Store,353,Search Again After No Action,null,Non ASIN,2,No Data
2024-03-22T02:44:38Z,US,Not Available,Kindle for iOS,Not Available,73720B2A-698D-440A-B861-68A11889D74A,B89A0714-12AC-40C0-930F-AF48D7156B04,1,1,No Section Shown,2128,Search Again After No Action,null,Non ASIN,1,No Data
2024-02-24T19:03:54Z,US,Not Available,Kindle for iOS,Not Available,9C45D2D1-89D2-4464-BD02-2326802AF2CF,0B113558-568D-46B5-B87C-54853D8F4D2C,6,1,Store,105,Product Detail Page Opened,B07XQK3SGQ,ASIN,6,No Data
2024-04-14T23:55:12Z,US,Not Available,Kindle for iOS,Not Available,2E505B22-15F4-457B-AE43-6FF399D1333F,ED32617B-4C0A-4310-9012-C0652FF64461,1,1,No Section Shown,2500,Search Reworded,null,Non ASIN,1,No Data
2024-03-16T01:31:47Z,US,Not Available,Kindle for iOS,Not Available,18F53304-400B-42F2-B406-AD052FB2BA79,9DAD4520-3A97-4B73-9BA7-B18352DF4C83,1,1,Store,212,Product Detail Page Opened,B017S3J3X6,ASIN,1,No Data
2024-02-27T22:56:44Z,US,Not Available,Kindle for iOS,Not Available,C8EBB3A7-9E03-4E08-9425-19F1CBC0E9E9,5AAB2651-2D20-4BEE-98F1-2F59939DAC6E,1,1,Store,180,Exit Search,null,Non ASIN,2,No Data
2024-02-26T00:00:06Z,US,Not Available,Kindle for iOS,Not Available,99677DB7-1424-4418-BDCD-8D9625E61795,7E0693E8-F008-4CDA-A81B-4BC6CF946E2D,3,1,Store,751,Product Detail Page Opened,B09PNM8FFN,ASIN,1,No Data
