Created Timestamp,Marketplace,Country of Residence,Device Family,ASIN,Search Session ID,Search ID,Section Name,Search Result Position,Book Last Accessed Time,Was Cover Image Shown,Was Kindle Unlimited Badge Shown,Review Stars (5 is best),Total Reviews,Price Displayed,Book Was Downloaded,Is Item A Series,Was Prime Badge Shown,Book Read Progress Percentage,Was Comixology Unlimited Badge Shown,Selected Search Result Value,Book Available For Download,Book File Size in Bytes,Book Type,Reading Program,Specialized Content ID
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,17,Not Available,No Data,No Data,4.6000,42241,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B074MDD3H6,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,12,Not Available,No Data,No Data,4.8000,252,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B003DXPTR0,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,3,Not Available,No Data,No Data,4.7000,1537,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B004TNKN2Y,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,10,Not Available,No Data,No Data,4.6000,71170,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B01M5IJM2U,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,2,Not Available,No Data,No Data,4.7000,302,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B07GNV6Z7X,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,14,Not Available,No Data,No Data,4.4000,1128,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B072LLQQ1M,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,13,Not Available,No Data,No Data,4.8000,302,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B00ANRPYAQ,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,16,Not Available,No Data,No Data,4.6000,26,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B09MWFDFVR,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,5,Not Available,No Data,No Data,4.8000,27420,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B01DCHZE3A,No Data,Not Included in Search Result,Unknown Type,No data,No Data
2022-04-30T15:49:42Z,US,No data,Kindle for iOS,Not Available,C90E0FCE-BCDE-45FB-B4F6-82CFFC230839,B099E343-3301-4A87-ADB0-67D86DCCA33D,Store,7,Not Available,No Data,No Data,4.4000,4558,Not Included in Search Result,No Data,No,No Data,Not Included in Search Result,No Data,B0989C7X7L,No Data,Not Included in Search Result,Unknown Type,No data,No Data
