Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-01T23:17:01Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-01T15:20:48Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T01:17:41Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-22T03:21:45Z,US,,Kindle for iOS,B0BJMZ2FQ3,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-19T10:04:27Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T01:11:10Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Open Speed Control,Vertical Scroll View,0,Audible
2024-03-20T23:04:18Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,0,Audible
2024-03-23T00:18:14Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Pause,Vertical Scroll View,672,Audible
2024-03-27T09:27:28Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-27T13:12:40Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-27T10:08:40Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-20T23:15:00Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-22T14:32:26Z,US,,,B0CHWQPB49,Inbook Mini Player,Open Speed Control,Vertical Scroll View,0,Audible
2024-03-23T02:50:56Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-20T13:32:24Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T06:27:14Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
