created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2024-03-05T09:41:45Z,US,,Kindle for iOS,B07QNKVR3N,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-26T01:32:46Z,US,,Kindle for iOS,B09HLCTYZ8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-05T10:44:33Z,US,,Kindle for iOS,B07QNKVR3N,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-12T02:43:10Z,US,,Kindle for iOS,B09P5GT746,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-26T19:47:35Z,US,,,B0BCZWC3QZ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-26T19:18:14Z,US,,,B0BCZWC3QZ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-04-04T13:35:34Z,US,,Kindle for iOS,B0BJJTTM8K,Highlighted Word,Wikipedia Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-06T15:15:08Z,US,,Kindle for iOS,B01KB8XC5A,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-28T13:49:30Z,US,,Kindle for iOS,B0CYWDS6CT,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-02T22:07:43Z,US,,Kindle for iOS,B09QY2KWKY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T15:32:39Z,US,,Kindle for iOS,B08K62VYDJ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-04T05:23:36Z,US,,Kindle for iOS,B01MTZDCUN,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T14:48:51Z,US,,Kindle for iOS,B0B232HFC9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-15T20:04:52Z,US,,Kindle for iOS,B07XQK3SGQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T06:38:17Z,US,,Kindle for iOS,B0CB1RMZRC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-02T15:36:18Z,US,,Kindle for iOS,B09QY2KWKY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-20T02:39:27Z,US,,Kindle for iOS,B008UCJ7KO,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-22T19:27:23Z,US,,,Not Available,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T06:32:51Z,US,,Kindle for iOS,B0CB1RMZRC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T20:33:12Z,US,,Kindle for iOS,B0B232HFC9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-27T07:39:43Z,US,,Kindle for iOS,B08X472VK3,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T15:24:44Z,US,,Kindle for iOS,B0B232HFC9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-27T19:26:31Z,US,,Kindle for iOS,B0BDW9C3JY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-03T16:11:52Z,US,,Kindle for iOS,B01MST9RU9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-27T08:33:24Z,US,,Kindle for iOS,B08X472VK3,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-13T21:55:31Z,US,,Kindle for iOS,B08266SRVP,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-18T13:52:46Z,US,,Kindle for iOS,B00846REIS,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-04-02T00:30:08Z,US,,Kindle for iOS,B0BHLBHG79,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-15T14:24:55Z,US,,Kindle for iOS,B07XQK3SGQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-02T03:39:24Z,US,,Kindle for iOS,B0994RZ2L1,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-18T13:49:40Z,US,,Kindle for iOS,B00846REIS,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-25T23:54:52Z,US,,Kindle for iOS,B07Y82JMF8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-25T13:52:12Z,US,,Kindle for iOS,B00W22ITCU,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-19T09:38:17Z,US,,Kindle for iOS,B008UCJ7KO,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T19:44:31Z,US,,Kindle for iOS,B07XQK3SGQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-14T04:40:45Z,US,,Kindle for iOS,B0C7QYS91W,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-11T05:10:59Z,US,,Kindle for iOS,B07B9WH8KT,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-16T07:05:54Z,US,,Kindle for iOS,B017S3J3X6,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-25T14:40:42Z,US,,Kindle for iOS,B00W22ITCU,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-25T13:53:33Z,US,,Kindle for iOS,B00W22ITCU,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-02T15:42:46Z,US,,Kindle for iOS,B09QY2KWKY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-20T02:09:36Z,US,,Kindle for iOS,B008UCJ7KO,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T18:32:05Z,US,,Kindle for iOS,B08K62VYDJ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T08:39:48Z,US,,Kindle for iOS,B0CB1RMZRC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-09T20:02:51Z,US,,Kindle for iOS,B07WJ2X243,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-04T22:51:37Z,US,,Kindle for iOS,B09NJBVM8Z,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-04-05T18:33:00Z,US,,Kindle for iOS,B00AXIZ5MC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-26T06:56:16Z,US,,Kindle for iOS,B09HLCTYZ8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-17T19:01:44Z,US,,Kindle for iOS,B0757CRTLY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
