country,created_timestamp,device_family,preferred_marketplace,ASIN,page_where_dialog_was_shown,customer_action,number_of_pages_swiped_while_dialog_is_displayed
US,2024-04-06T20:21:23Z,Kindle E-reader,US,B00FO60CH6,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-09T00:49:54Z,Kindle E-reader,US,B00QE1DLIC,Last Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-09T00:50:31Z,Kindle E-reader,US,B00QE1DLIC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-03-31T00:24:18Z,Kindle E-reader,US,B07ZFZZ2GQ,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T03:14:34Z,Kindle E-reader,US,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-05T01:27:08Z,Kindle E-reader,US,B008WOTQGU,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T06:16:21Z,Kindle E-reader,US,B0BJJTTM8K,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2024-04-04T23:38:22Z,Kindle E-reader,US,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-07T03:09:34Z,Kindle E-reader,US,B00O6V45E6,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-04-04T06:16:25Z,Kindle E-reader,US,B0BJJTTM8K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,262
