country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2024-04-06T20:21:13Z,US,Kindle E-reader,B00FO60CH6,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-06T20:21:05Z,US,Kindle E-reader,B00FO60CH6,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Last Page Read
US,2024-04-02T04:26:57Z,US,Kindle E-reader,B0BHLBHG79,Current Last Page Read Not Present,Not Available
US,2024-04-02T01:27:50Z,US,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2024-04-07T03:09:27Z,US,Kindle E-reader,B00O6V45E6,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-04T06:16:17Z,US,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-03-31T00:24:13Z,US,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-30T01:05:29Z,US,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2024-04-06T00:52:21Z,US,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-04-05T01:27:03Z,US,Kindle E-reader,B008WOTQGU,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-08T22:50:28Z,US,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-03-30T01:42:06Z,US,Kindle E-reader,B07ZFZZ2GQ,Current Last Page Read Not Present,Not Available
US,2024-04-09T00:49:38Z,US,Kindle E-reader,B00QE1DLIC,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T03:14:31Z,US,Kindle E-reader,B0BJJTTM8K,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-04T06:16:18Z,US,Kindle E-reader,B0BJJTTM8K,Tap on Most Recent Page Read Title,Last Page Read
US,2024-03-31T13:12:00Z,US,Kindle E-reader,B07ZFZZ2GQ,Already at Most Recent Page Read,Not Available
US,2024-04-04T23:38:18Z,US,Kindle E-reader,B0BJJTTM8K,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-06T20:21:05Z,US,Kindle E-reader,B00FO60CH6,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-04T23:38:16Z,US,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T23:38:38Z,US,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-04-04T23:38:16Z,US,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-31T00:24:13Z,US,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T03:14:29Z,US,Kindle E-reader,B0BJJTTM8K,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T06:16:17Z,US,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-09T01:14:57Z,US,Kindle E-reader,B00QE1DLIC,Current Last Page Read Not Present,Not Available
US,2024-04-05T01:27:04Z,US,Kindle E-reader,B008WOTQGU,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T03:14:29Z,US,Kindle E-reader,B0BJJTTM8K,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-10T01:43:02Z,US,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2024-04-04T06:16:23Z,US,Kindle E-reader,B0BJJTTM8K,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-07T03:09:21Z,US,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-04T06:16:22Z,US,Kindle E-reader,B0BJJTTM8K,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-06T20:21:16Z,US,Kindle E-reader,B00FO60CH6,Tap Top of Screen to Display the Reading Navigation Toolbar Inside Book,Most Recent Page Read
US,2024-04-07T03:09:21Z,US,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-06T20:21:05Z,US,Kindle E-reader,B00FO60CH6,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-09T00:50:28Z,US,Kindle E-reader,B00QE1DLIC,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-05T01:27:06Z,US,Kindle E-reader,B008WOTQGU,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-09T00:49:38Z,US,Kindle E-reader,B00QE1DLIC,Most Recent Page Read Dialog Box Shown,Last Page Read
