created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-02-23T22:34:17Z,US,Not Available,,B00ONUYEZA,About This Book BSE,Open the book,2024-02-23T22:34:13Z,2024-02-23T22:34:17Z,KFX
2024-03-22T02:39:13Z,US,Not Available,Kindle for iOS,B0183KJZE0,Before You Go BSE,Reach end of book,2024-03-22T02:39:11Z,2024-03-22T02:39:13Z,KFX
2024-02-26T00:17:12Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Before You Go BSE,Reach end of book,2024-02-26T00:17:11Z,2024-02-26T00:17:12Z,KFX
2024-02-28T19:53:50Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Before You Go BSE,Reach end of book,2024-02-28T19:53:48Z,2024-02-28T19:53:50Z,KFX
2024-03-19T05:36:38Z,US,Not Available,Kindle for iOS,B008673ZAQ,Before You Go BSE,Reach end of book,2024-03-19T05:36:20Z,2024-03-19T05:36:38Z,KFX
2024-03-06T12:21:59Z,US,Not Available,Kindle for iOS,B07C7N5CBS,Before You Go BSE,Reach end of book,2024-03-06T12:21:44Z,2024-03-06T12:21:59Z,KFX
2024-03-18T21:29:11Z,US,Not Available,Kindle for iOS,B00846REIS,Before You Go BSE,Reach end of book,2024-03-18T21:29:09Z,2024-03-18T21:29:11Z,KFX
2024-03-03T07:27:28Z,US,Not Available,Kindle for iOS,B08Y6DCS1Y,Before You Go BSE,Reach end of book,2024-03-03T07:27:26Z,2024-03-03T07:27:28Z,KFX
2024-02-27T06:28:09Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Before You Go BSE,Reach end of book,2024-02-27T06:28:06Z,2024-02-27T06:28:09Z,KFX
2024-03-03T06:59:51Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go BSE,Reach end of book,2024-03-03T06:59:48Z,2024-03-03T06:59:51Z,KFX
2024-03-22T01:12:51Z,US,Not Available,Kindle for iOS,B0183KJZE0,Before You Go BSE,Reach end of book,2024-03-22T01:12:41Z,2024-03-22T01:12:51Z,KFX
2024-02-24T08:49:33Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-02-24T08:49:30Z,2024-02-24T08:49:33Z,KFX
2024-04-09T18:40:14Z,US,Not Available,Kindle for iOS,B00H57X864,Before You Go BSE,Reach end of book,2024-04-09T18:40:07Z,2024-04-09T18:40:14Z,KFX
2024-02-24T20:30:18Z,US,Not Available,Kindle for iOS,B09CNFRZDC,About This Book BSE,Open the book,2024-02-24T20:30:16Z,2024-02-24T20:30:18Z,KFX
