created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Present.0,BSE_SA
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,About the Author
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,Book Description
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,Other widget
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,ttl
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,More by Author
2022-04-30T15:59:44Z,US,Not Available,Kindle for iOS,B00KVRDACW,Open,Time To Read
2024-03-05T15:04:26Z,US,Not Available,Kindle for iOS,B01N7GREG9,Open,grsh
2024-02-24T20:30:17Z,US,Not Available,Kindle for iOS,B09CNFRZDC,Present.0,BSE_SA
2024-03-05T01:51:28Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Open,Customers Who Bought This Also Bought
2024-03-05T01:01:42Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Open,ttl
2024-03-30T21:33:15Z,US,Not Available,Kindle for iOS,B09DTJF1WD,Open Review,rtrv
2024-02-24T08:49:25Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,vl
2024-02-27T21:59:29Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Collapse,BSE_EA
2024-03-03T07:26:27Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,rtrv
2024-03-18T03:03:02Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Open,ttl
2024-02-27T12:16:30Z,US,Not Available,Kindle for iOS,B09X6KD3CS,Collapse,BSE_EA
2024-04-09T18:40:07Z,US,Not Available,Kindle for iOS,B00H57X864,Open,ttl
2024-03-20T04:18:34Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Open,More by Author
2024-03-08T09:23:03Z,US,Not Available,Kindle for iOS,B083TZV25B,Open,vl
2024-02-29T01:11:28Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,Follow the Author
2024-03-22T01:12:47Z,US,Not Available,Kindle for iOS,B0183KJZE0,Click.Shelf,grsh
2024-03-22T02:39:11Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,More by Author
2024-03-16T01:03:41Z,US,Not Available,Kindle for iOS,B07XQK3SGQ,Open,rtrv
2024-03-07T03:52:39Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Click.Shelf.Read,grsh
2024-03-05T14:53:10Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Open,Customers Who Bought This Also Bought
2024-03-03T07:24:23Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,rtrv
2024-03-16T20:54:34Z,US,Not Available,Kindle for iOS,B01M04PNMH,Open,rtrv
2024-03-07T03:52:27Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Open,grsh
2024-03-26T03:58:21Z,US,Not Available,Kindle for iOS,B07Y82JMF8,Open,vl
2024-03-09T06:01:06Z,US,Not Available,Kindle for iOS,B071NRXLXB,Open,vl
2024-03-11T12:49:28Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,Open,Time To Read
2024-03-29T21:35:17Z,US,Not Available,Kindle for iOS,B06XWR6BC3,Open,More by Author
