created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2024-03-19T13:04:22Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,262
2024-03-20T23:01:28Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,125
2024-03-20T21:43:54Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,132
2024-03-22T15:14:58Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,2078
2024-03-12T20:19:57Z,US,Not Available,Kindle for iOS,B0CL7GMPD4,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-22T19:20:53Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,184
2024-03-22T14:57:23Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,1023
2024-03-22T20:49:03Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,1077
2024-03-22T19:17:37Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,99
2024-03-21T13:01:33Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,354
2024-03-11T11:00:08Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1843
2024-03-19T02:15:20Z,US,Not Available,Kindle for iOS,B008673ZAQ,out_of_app,narration,not_applicable,307
2024-03-19T13:10:17Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,617
2024-03-20T22:03:17Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,877
2024-03-22T01:04:28Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1348
2024-03-20T12:49:08Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,2177
2024-03-20T21:54:23Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,343
2024-03-20T23:03:16Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,81
2024-03-22T19:34:39Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,434
2024-03-20T23:01:38Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,135
2024-03-27T02:30:59Z,US,Not Available,Kindle for iOS,B08X472VK3,out_of_app,narration,not_applicable,690
2024-03-19T21:02:45Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,932
2024-03-20T13:02:40Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,709
2024-03-20T22:59:05Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,586
2024-03-22T14:55:16Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,895
2024-03-22T15:15:39Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,2119
2024-03-27T11:24:56Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,out_of_app,narration,not_applicable,4
