created_timestamp,preferred_marketplace,country,device_family,ASIN,Reading Customization Setting Changed,Previous Setting Value,Setting New Value
2024-03-03T01:43:05Z,US,,Kindle for iOS,B09QY2KWKY,Theme,Custom,LowVision
2022-04-30T15:48:36Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Standard,Standard
2024-03-30T13:42:21Z,US,,Kindle for iOS,B09DTJF1WD,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2024-03-29T21:34:52Z,US,,Kindle for iOS,B06XWR6BC3,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2024-03-26T11:19:41Z,US,,Kindle for iOS,B0BCZWC3QZ,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2024-03-26T00:40:46Z,US,,Kindle for iOS,B07Y82JMF8,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2024-04-10T21:39:17Z,US,,Kindle for iOS,B01L7Q54NI,Reading Progress Currently Displayed Option,Time Left In Book,Hide Reading Progress Display
2022-04-30T15:48:30Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Compact,Standard
2022-04-30T15:48:36Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Compact,Standard
2024-04-07T02:49:19Z,US,,Kindle for iOS,B00O6V45E6,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2024-04-05T00:36:43Z,US,,Kindle for iOS,B008WOTQGU,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2024-03-03T01:43:07Z,US,,Kindle for iOS,B09QY2KWKY,Theme,LowVision,Custom
2024-03-30T16:47:22Z,US,,Kindle for iOS,B09DTJF1WD,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Page Number
2022-04-30T15:48:29Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Custom,Compact
2024-03-26T03:17:07Z,US,,Kindle for iOS,B07Y82JMF8,Reading Progress Currently Displayed Option,Hide Reading Progress Display,Current Page Number
2022-04-30T15:48:30Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Standard,Large
2022-04-30T15:48:31Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,Large,LowVision
2022-04-30T15:48:34Z,US,,Kindle for iOS,B07KWL5L8Y,Theme,LowVision,Compact
