created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,sync_type
2024-03-08T18:35:59Z,US,Not Available,,B083TZV25B,in_book_sync,manual_sync_button_press
2024-04-04T03:10:57Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-06T17:56:47Z,US,Not Available,Kindle for iOS,B00FO60CH6,in_book_sync,manual_sync_button_press
2024-04-08T22:33:37Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-02T01:26:02Z,US,Not Available,Kindle for iOS,B0BHLBHG79,in_book_sync,manual_sync_button_press
2024-03-31T12:56:16Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-11T14:08:27Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-07T03:06:44Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-03-31T01:05:03Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-05T01:15:10Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-09T00:50:20Z,US,Not Available,Kindle for iOS,B00QE1DLIC,in_book_sync,manual_sync_button_press
2024-04-08T22:33:43Z,US,Not Available,Kindle for iOS,B00QE1DLIC,in_book_sync,manual_sync_button_press
2024-03-31T00:35:44Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-04T06:15:52Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-03-16T02:40:50Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-06T00:51:53Z,US,Not Available,Kindle for iOS,B00AXIZ5MC,in_book_sync,manual_sync_button_press
2024-04-08T22:33:30Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-06T20:20:42Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-15T23:47:38Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-03-01T15:20:37Z,US,Not Available,Kindle for iOS,B0994RZ2L1,in_book_sync,manual_sync_button_press
2024-04-11T00:54:07Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
2024-04-04T23:30:09Z,US,Not Available,Kindle for iOS,Not Available,library_manual_sync,manual_sync_button_press
