created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2024-04-09T00:13:43Z,US,Not Available,Kindle for iOS,B00QE1DLIC,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-04T11:18:40Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-08T18:57:58Z,US,Not Available,,Not Available,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-07T21:10:04Z,US,Not Available,Kindle for iOS,B083TZV25B,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-26T21:55:20Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-08T18:35:44Z,US,Not Available,,B083TZV25B,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T14:08:10Z,US,Not Available,Kindle for iOS,B0757CRTLY,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T05:15:22Z,US,Not Available,Kindle for iOS,B017S3J3X6,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T20:20:30Z,US,Not Available,Kindle for iOS,B01M04PNMH,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-04T17:34:20Z,US,Not Available,Kindle for iOS,B06XWR6BC3,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T00:13:45Z,US,Not Available,Kindle for iOS,B00QE1DLIC,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-09T18:37:39Z,US,Not Available,Kindle for iOS,B00H57X864,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-08T19:07:14Z,US,Not Available,Kindle for iOS,B079JF4D4S,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-10T01:34:35Z,US,Not Available,Kindle for iOS,B0BCHJ9885,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-08T21:36:54Z,US,Not Available,Kindle for iOS,B01D6TA9Y8,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-10T01:34:40Z,US,Not Available,Kindle for iOS,B0BCHJ9885,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-18T23:16:25Z,US,Not Available,Kindle for iOS,B008673ZAQ,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2024-03-08T18:57:57Z,US,Not Available,,Not Available,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-07T21:18:00Z,US,Not Available,Kindle for iOS,B083TZV25B,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-01T15:20:42Z,US,Not Available,Kindle for iOS,B0994RZ2L1,Customer pressed No on pop-up,Furthest Page Read pop-up,Not Available
2024-03-08T19:44:14Z,US,Not Available,Kindle for iOS,B079JF4D4S,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T14:09:27Z,US,Not Available,Kindle for iOS,B0757CRTLY,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-04T11:18:43Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-17T14:09:30Z,US,Not Available,Kindle for iOS,B0757CRTLY,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T18:40:30Z,US,Not Available,Kindle for iOS,B00O6V45E6,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T14:09:31Z,US,Not Available,Kindle for iOS,B0757CRTLY,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-07T20:33:19Z,US,Not Available,Kindle for iOS,B083TZV25B,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-04T05:11:46Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-04T05:11:47Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-02T11:07:42Z,US,Not Available,Kindle for iOS,B0BHLBHG79,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T00:50:23Z,US,Not Available,Kindle for iOS,B00QE1DLIC,Customer pressed No on pop-up,Furthest Page Read pop-up,Not Available
2024-03-07T20:33:21Z,US,Not Available,Kindle for iOS,B083TZV25B,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T01:56:05Z,US,Not Available,Kindle for iOS,B017S3J3X6,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T20:20:29Z,US,Not Available,Kindle for iOS,B01M04PNMH,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T20:27:27Z,US,Not Available,Kindle for iOS,B01M04PNMH,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-02T01:26:05Z,US,Not Available,Kindle for iOS,B0BHLBHG79,Customer pressed No on pop-up,Furthest Page Read pop-up,Not Available
2024-04-09T18:37:25Z,US,Not Available,Kindle for iOS,B00QE1DLIC,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-05T11:18:59Z,US,Not Available,Kindle for iOS,B008WOTQGU,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-19T05:43:12Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-10T01:27:48Z,US,Not Available,Kindle for iOS,B0BCHJ9885,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T18:37:37Z,US,Not Available,Kindle for iOS,B00H57X864,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T10:11:18Z,US,Not Available,Kindle for iOS,B0757CRTLY,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T18:40:33Z,US,Not Available,Kindle for iOS,B00O6V45E6,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-22T19:49:22Z,US,Not Available,Kindle for iOS,B0CHWQPB49,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-31T12:56:09Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-18T23:16:21Z,US,Not Available,Kindle for iOS,B008673ZAQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-18T23:16:27Z,US,Not Available,Kindle for iOS,B008673ZAQ,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-30T12:07:27Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-05T11:19:04Z,US,Not Available,Kindle for iOS,B008WOTQGU,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-04T05:11:41Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-14T16:02:07Z,US,Not Available,Kindle for iOS,B0778CV9Y4,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-20T06:56:00Z,US,Not Available,Kindle for iOS,B00NEQRNVG,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-26T21:54:43Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-08T18:35:44Z,US,Not Available,,B083TZV25B,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-22T00:33:39Z,US,Not Available,Kindle for iOS,B0183KJZE0,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T18:37:40Z,US,Not Available,Kindle for iOS,B00H57X864,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-17T10:11:21Z,US,Not Available,Kindle for iOS,B0757CRTLY,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-22T00:34:07Z,US,Not Available,Kindle for iOS,B0183KJZE0,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-14T16:02:11Z,US,Not Available,Kindle for iOS,B0778CV9Y4,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-09T18:40:51Z,US,Not Available,Kindle for iOS,B00O6V45E6,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-17T01:55:48Z,US,Not Available,Kindle for iOS,B017S3J3X6,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-04T17:34:19Z,US,Not Available,Kindle for iOS,B06XWR6BC3,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-02T01:27:26Z,US,Not Available,Kindle for iOS,B0BHLBHG79,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-02T01:27:32Z,US,Not Available,Kindle for iOS,B0BHLBHG79,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-04T11:18:38Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-19T05:43:20Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-16T05:15:25Z,US,Not Available,Kindle for iOS,B017S3J3X6,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-05T00:22:48Z,US,Not Available,Kindle for iOS,B008WOTQGU,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-31T12:56:03Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-30T12:07:30Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-06T01:56:30Z,US,Not Available,Kindle for iOS,B00AXIZ5MC,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-08T22:33:46Z,US,Not Available,Kindle for iOS,B00QE1DLIC,Customer pressed No on pop-up,Furthest Page Read pop-up,Not Available
2024-04-02T11:07:43Z,US,Not Available,Kindle for iOS,B0BHLBHG79,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-22T00:33:40Z,US,Not Available,Kindle for iOS,B0183KJZE0,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-26T21:55:22Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-16T05:16:57Z,US,Not Available,Kindle for iOS,B017S3J3X6,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-19T05:43:11Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-27T11:36:48Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-31T05:01:24Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-08T19:00:42Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-05T11:18:56Z,US,Not Available,Kindle for iOS,B008WOTQGU,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-26T21:55:19Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2024-03-27T11:36:47Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
