created_timestamp,country,preferred_marketplace,device_family,active_ASIN,content_type,file_auto_marked_as_read
2024-03-22T11:52:10Z,Not Available,US,Kindle for iOS,B0B1KVSRCL,E-Book,B0B1KVSRCL
2024-03-28T02:24:17Z,Not Available,US,Kindle for iOS,B0BC16PP4Z,E-Book,B0BC16PP4Z
2024-02-29T21:51:08Z,Not Available,US,Kindle for iOS,B08Y6DCS1Y,E-Book,B08Y6DCS1Y
2024-02-27T21:59:13Z,Not Available,US,Kindle for iOS,B0BDW9C3JY,E-Book,B0BDW9C3JY
2024-02-24T18:32:09Z,Not Available,US,Kindle for iOS,B08K62VYDJ,E-Book,B08K62VYDJ
2024-03-27T11:09:57Z,Not Available,US,Kindle for iOS,B08X472VK3,E-Book,B08X472VK3
2024-03-25T08:29:55Z,Not Available,US,Kindle for iOS,B00V3MY186,E-Book,B00V3MY186
2024-04-02T11:07:43Z,Not Available,US,Kindle for iOS,B0BHLBHG79,E-Book,B0BHLBHG79
2024-03-04T09:17:24Z,Not Available,US,Kindle for iOS,B01N7GREG9,E-Book,B01N7GREG9
2024-04-04T13:46:41Z,Not Available,US,Kindle for iOS,B0BJJTTM8K,E-Book,B0BJJTTM8K
2024-03-14T06:33:07Z,Not Available,US,Kindle for iOS,B0CL7L1Y9X,E-Book,B0CL7L1Y9X
2024-03-16T08:51:30Z,Not Available,US,Kindle for iOS,B017S3J3X6,E-Book,B017S3J3X6
2024-04-05T13:45:37Z,Not Available,US,Kindle for iOS,B008WOTQGU,E-Book,B008WOTQGU
2024-03-08T09:21:12Z,Not Available,US,Kindle for iOS,B083TZV25B,E-Book,B083TZV25B
2024-03-23T00:48:51Z,Not Available,US,Kindle for iOS,B0CHWQPB49,E-Book,B0CHWQPB49
2024-03-14T17:21:25Z,Not Available,US,Kindle for iOS,B0C7QYS91W,E-Book,B0C7QYS91W
2024-03-05T14:52:55Z,Not Available,US,Kindle for iOS,B07QNKVR3N,E-Book,B07QNKVR3N
2024-03-21T02:36:26Z,Not Available,US,Kindle for iOS,B00NEQRNVG,E-Book,B00NEQRNVG
2024-03-04T10:05:12Z,Not Available,US,Kindle for iOS,B0188332MI,E-Book,B0188332MI
2024-04-04T19:07:13Z,Not Available,US,Kindle for iOS,B01M98D4TM,E-Book,B01M98D4TM
2024-02-25T06:16:37Z,Not Available,US,Kindle for iOS,B09S1CMMBT,E-Book,B09S1CMMBT
2024-03-11T05:58:59Z,Not Available,US,Kindle for iOS,B07B9WH8KT,E-Book,B07B9WH8KT
2024-03-16T20:51:40Z,Not Available,US,Kindle for iOS,B01M04PNMH,E-Book,B01M04PNMH
2024-03-11T09:09:49Z,Not Available,US,Kindle for iOS,Not Available,E-Book,B0CL7GMPD4
2024-03-03T20:20:42Z,Not Available,US,Kindle for iOS,B01N5C6HP9,E-Book,B01N5C6HP9
2024-03-30T21:33:10Z,Not Available,US,Kindle for iOS,B09DTJF1WD,E-Book,B09DTJF1WD
2024-04-06T19:34:40Z,Not Available,US,Kindle for iOS,B00FO60CH6,E-Book,B00FO60CH6
2024-03-14T00:07:30Z,Not Available,US,Kindle for iOS,B08266SRVP,E-Book,B08266SRVP
2024-04-04T19:08:14Z,Not Available,US,Kindle for iOS,Not Available,E-Book,B01M98D4TM
2024-04-09T18:40:55Z,Not Available,US,Kindle for iOS,B00O6V45E6,E-Book,B00O6V45E6
2024-03-23T20:42:42Z,Not Available,US,Kindle for iOS,B00V3MY1IQ,E-Book,B00V3MY1IQ
2024-03-10T01:24:16Z,Not Available,US,Kindle for iOS,B07WJ2X243,E-Book,B07WJ2X243
2024-03-13T19:40:09Z,Not Available,US,Kindle for iOS,B08266V1T2,E-Book,B08266V1T2
2024-03-20T04:18:25Z,Not Available,US,Kindle for iOS,B008UCJ7KO,E-Book,B008UCJ7KO
2024-03-02T15:04:24Z,Not Available,US,Kindle for iOS,B09QY2KWKY,E-Book,B09QY2KWKY
2024-03-17T20:19:13Z,Not Available,US,Kindle for iOS,B0757CRTLY,E-Book,B0757CRTLY
2024-03-24T01:27:11Z,Not Available,US,Kindle for iOS,B00V3MY1GS,E-Book,B00V3MY1GS
