created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2024-04-08T14:16:46Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-07T17:53:14Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-03-30T21:36:38Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-07T17:53:39Z,US,US,Kindle E-reader,B00N6PD7L0,Yes,Yes,Yes,Xray
2024-04-08T22:50:41Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-06T22:48:44Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T18:57:34Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-04T23:38:41Z,US,US,Kindle E-reader,B008WOTQGU,Yes,Yes,Yes,Xray
2024-04-11T00:55:05Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-03-30T01:05:29Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-13T16:12:41Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-06T02:19:18Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-08T22:51:13Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T19:52:09Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-04T23:38:37Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-06T00:52:21Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-07T17:52:51Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T15:16:53Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-08T22:50:34Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T01:44:08Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T13:11:58Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T06:25:07Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T00:24:13Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-07T17:53:03Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-06T16:51:06Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-06T20:22:51Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-06T16:50:57Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T05:39:31Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-10T01:43:02Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-03-30T00:52:23Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-07T03:09:20Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-31T01:05:30Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T01:44:55Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T00:55:48Z,US,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-04-08T22:50:27Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-08T02:11:39Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-02T01:27:50Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-04T03:11:51Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-02T01:27:27Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T00:54:04Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-03-30T19:47:11Z,US,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-10T02:50:28Z,US,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
