created_timestamp,ASIN,customer_context,action,is_starred,device_family,country,preferred_marketplace
2024-03-27T09:15:35Z,B08X472VK3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-15T13:52:19Z,B07XQK3SGQ,ReadingViewAndMenu,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-04T03:50:52Z,B01MTZDCUN,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-03T00:52:24Z,B09QY2KWKY,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T21:22:05Z,B09ZKRWCG4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-25T21:50:54Z,B0B232HFC9,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-14T03:28:24Z,B0C7QYS91W,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T09:17:03Z,B00W22ITCU,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-26T03:26:57Z,B07Y82JMF8,ReadingViewAndMenu,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-17T04:25:14Z,B0757CRTLY,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T03:25:05Z,B00V3MY186,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-13T05:35:59Z,B01MSWC05T,ReadingViewAndMenu,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-21T02:06:44Z,B00NEQRNVG,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T21:22:05Z,B09ZKRWCG4,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-02-29T12:27:48Z,B08Y6DCS1Y,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-25T09:17:06Z,B00W22ITCU,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-05T11:46:40Z,B07QNKVR3N,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-09T00:13:44Z,B00QE1DLIC,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-19T04:53:11Z,B008673ZAQ,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:19Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T02:56:18Z,B09Z7BYZS3,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-13T21:19:50Z,B08266SRVP,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T20:58:54Z,B07WJ2X243,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-03-02T05:39:29Z,B0994RZ2L1,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-09T19:28:13Z,B07WJ2X243,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-14T19:49:32Z,B0778CV9Y4,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-04-01T03:00:50Z,B09Z7BYZS3,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
2024-03-27T17:54:35Z,B09ZKRWCG4,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-04-02T01:23:17Z,B0BHLBHG79,ReadingView,AddBookmark,No,Kindle for iOS,Not Available,US
2024-02-26T06:50:27Z,B09HLCTYZ8,ReadingView,RemoveBookmark,No,Kindle for iOS,Not Available,US
