created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2024-03-15T22:12:13Z,B07XQK3SGQ,QuickHighlight,AddHighlight,Not Available,No,Off,32,Kindle for iOS,Not Available,US
2024-03-11T04:17:27Z,B07B9WH8KT,QuickHighlight,AddHighlight,Not Available,No,Off,38,Kindle for iOS,Not Available,US
2024-02-24T18:25:03Z,B08K62VYDJ,QuickHighlight,AddHighlight,Not Available,No,Off,14,Kindle for iOS,Not Available,US
2024-03-03T03:53:04Z,B09QY2KWKY,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-03-07T13:50:50Z,B083TZV25B,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-28T11:15:37Z,B0BDW83LGQ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-07T17:49:55Z,B083TZV25B,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-04-04T12:50:35Z,B0BJJTTM8K,QuickHighlight,AddHighlight,Not Available,No,Off,10,Kindle for iOS,Not Available,US
2024-04-06T00:04:11Z,B00AXIZ5MC,QuickHighlight,AddHighlight,Not Available,No,Off,14,Kindle for iOS,Not Available,US
2024-03-16T15:49:12Z,B01M04PNMH,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-01T17:56:43Z,B0994RZ2L1,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-28T13:36:30Z,B0CYWDS6CT,QuickHighlight,AddHighlight,Not Available,No,Off,21,Kindle for iOS,Not Available,US
2024-03-07T03:01:14Z,B01KB8XC5A,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-27T12:34:17Z,B0BDW9C3JY,QuickHighlight,AddHighlight,Not Available,No,Off,11,Kindle for iOS,Not Available,US
