created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2021-07-08T23:50:22Z,Not Available,US,Kindle for iOS,B07DZLJF1C,0,0,seriesGroupingEnabled
2021-07-08T23:50:20Z,Not Available,US,Kindle for iOS,B07DZLJF1C,0,0,seriesGroupingEnabled
2022-04-30T15:59:41Z,Not Available,US,Kindle for iOS,Not Available,0,0,seriesGroupingEnabled
2024-02-29T03:24:11Z,Not Available,US,Kindle for iOS,B08Y6DCS1Y,2,2,seriesGroupingEnabled
2024-03-17T20:20:29Z,Not Available,US,Kindle for iOS,B0CLT4QRQL,4,5,seriesGroupingEnabled
2024-04-10T23:10:32Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-12T20:18:19Z,Not Available,US,Kindle for iOS,B0CL7L1Y9X,3,5,seriesGroupingEnabled
2024-03-08T18:35:46Z,Not Available,US,Mac,B083TZV25B,3,5,seriesGroupingEnabled
2024-03-23T15:22:00Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-04T00:45:10Z,Not Available,US,Kindle for iOS,Not Available,2,3,seriesGroupingEnabled
2024-03-27T01:46:11Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-08T18:49:05Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-03-02T14:40:24Z,Not Available,US,Kindle for iOS,B0994RZ2L1,3,3,seriesGroupingEnabled
2024-04-07T17:50:39Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-27T03:04:08Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-16T19:42:17Z,Not Available,US,Kindle for iOS,B01M04PNMH,4,3,seriesGroupingEnabled
2024-03-18T11:04:41Z,Not Available,US,Kindle for iOS,B00846REIS,4,5,seriesGroupingEnabled
2024-03-08T21:36:50Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-03-09T21:38:42Z,Not Available,US,Kindle for iOS,B07WJ2X243,3,2,seriesGroupingEnabled
2024-03-03T08:59:05Z,Not Available,US,Kindle for iOS,B09QY2KWKY,3,4,seriesGroupingEnabled
2024-02-24T14:32:21Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-28T02:38:16Z,Not Available,US,Kindle for iOS,B0CYWDS6CT,4,5,seriesGroupingEnabled
2024-04-04T03:10:58Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-28T02:38:30Z,Not Available,US,Kindle for iOS,B0CYWDS6CT,4,5,seriesGroupingEnabled
2024-03-23T02:41:01Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-03T17:25:00Z,Not Available,US,Kindle for iOS,B01N5C6HP9,2,2,seriesGroupingEnabled
2024-03-08T18:06:22Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-21T08:04:47Z,Not Available,US,Kindle for iOS,B0183KJZE0,4,5,seriesGroupingEnabled
2024-03-03T09:11:04Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-27T22:42:59Z,Not Available,US,Kindle for iOS,B09ZKRWCG4,4,5,seriesGroupingEnabled
2024-03-27T22:43:18Z,Not Available,US,Kindle for iOS,B0BC16PP4Z,4,5,seriesGroupingEnabled
2024-03-20T05:58:02Z,Not Available,US,Kindle for iOS,B00NEQRNVG,4,5,seriesGroupingEnabled
2024-04-08T22:33:11Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-07T03:44:41Z,Not Available,US,Kindle for iOS,B01KB8XC5A,3,5,seriesGroupingEnabled
2024-04-11T00:54:09Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-08T02:19:27Z,Not Available,US,Kindle for iOS,B083TZV25B,3,5,seriesGroupingEnabled
2024-03-21T23:53:41Z,Not Available,US,Mac,Not Available,4,5,seriesGroupingEnabled
2024-04-10T17:53:05Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-04-14T22:59:37Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-11T06:55:30Z,Not Available,US,Kindle for iOS,Not Available,4,2,seriesGroupingEnabled
2024-03-23T14:18:25Z,Not Available,US,Kindle for iOS,B07Y82JMF8,3,5,seriesGroupingEnabled
2024-04-02T00:17:22Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-07T05:12:31Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-27T11:15:07Z,Not Available,US,Kindle for iOS,B09ZKRWCG4,4,5,seriesGroupingEnabled
2024-04-04T17:28:15Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-01T22:28:34Z,Not Available,US,Kindle for iOS,B0994RZ2L1,3,3,seriesGroupingEnabled
2024-03-01T17:16:21Z,Not Available,US,Kindle for iOS,B0994RZ2L1,3,3,seriesGroupingEnabled
2024-03-18T16:15:03Z,Not Available,US,Kindle for iOS,B00846REIS,4,5,seriesGroupingEnabled
2024-04-15T00:25:02Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-11T07:10:56Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-03-22T02:55:18Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-22T02:55:15Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-04T19:06:24Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-13T19:43:58Z,Not Available,US,Kindle for iOS,B08266SRVP,4,4,seriesGroupingEnabled
2024-04-06T01:57:16Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-02T11:07:45Z,Not Available,US,Kindle for iOS,B0BHLBHG79,4,5,seriesGroupingEnabled
2024-03-06T22:44:34Z,Not Available,US,Kindle for iOS,B01KB8XC5A,3,5,seriesGroupingEnabled
2024-03-16T01:31:54Z,Not Available,US,Kindle for iOS,Not Available,3,3,seriesGroupingEnabled
2024-02-23T22:34:09Z,Not Available,US,Mac,Not Available,1,2,seriesGroupingEnabled
2024-02-29T19:44:37Z,Not Available,US,Kindle for iOS,B08Y6DCS1Y,2,2,seriesGroupingEnabled
2024-03-03T07:01:45Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-02-25T20:12:52Z,Not Available,US,Kindle for iOS,B0B232HFC9,1,2,seriesGroupingEnabled
2024-02-24T20:30:17Z,Not Available,US,Kindle for iOS,B09CNFRZDC,1,2,seriesGroupingEnabled
2024-03-08T18:52:28Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-04-11T14:08:28Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-03T09:10:53Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-03-09T02:41:00Z,Not Available,US,Kindle for iOS,B01D6TA9Y8,2,2,seriesGroupingEnabled
2024-02-27T22:55:57Z,Not Available,US,Kindle for iOS,B0BDW9C3JY,2,2,seriesGroupingEnabled
2024-03-14T00:33:24Z,Not Available,US,Kindle for iOS,B0C7QYS91W,3,4,seriesGroupingEnabled
2024-04-02T21:31:07Z,Not Available,US,Kindle for iOS,5BEA93B92BE3430FB2DF09D918F5365C,4,5,seriesGroupingEnabled
