created_timestamp,country,preferred_marketplace,device_family,active_ASIN,book_cover_shown_after_app_resume,app_resumed_to_book
2024-03-07T17:36:00Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-07T20:37:59Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-02-28T18:08:26Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-29T02:40:53Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-29T19:44:36Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-31T05:01:24Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-05T20:30:41Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-10T23:10:31Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-07T13:44:33Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-19T22:55:39Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-27T06:27:21Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-26T18:53:40Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-03-11T20:39:03Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-25T04:12:51Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-26T13:57:31Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-03T19:19:29Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-01T18:43:36Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-09T18:37:24Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-10T01:21:12Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-01T01:54:33Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-01T05:47:42Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-02T00:17:22Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-18T23:16:20Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-12T20:18:18Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-02T11:07:40Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-02T14:40:23Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-02T18:53:25Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-08T18:35:41Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-03-26T20:03:12Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-03-16T18:45:56Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-01T12:13:43Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-06T12:21:36Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-15T20:14:39Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-27T02:33:46Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-06T01:56:27Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-22T14:31:14Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-03-25T00:43:53Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-09T16:37:38Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-03T21:31:38Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-29T15:21:19Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-25T16:31:34Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-30T19:39:12Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-10T18:10:38Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-21T23:53:20Z,Not Available,US,Mac,Not Available,No,No
2024-02-28T01:17:39Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-24T02:39:57Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-29T01:02:13Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-03T18:04:00Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-25T04:35:08Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-24T14:31:00Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-21T14:42:14Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2022-04-30T15:47:38Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-31T12:56:03Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-07T20:08:55Z,Not Available,US,Mac,Not Available,No,No
2024-03-26T21:33:33Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-04-11T00:54:01Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-24T22:39:57Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-08T19:56:17Z,Not Available,US,Mac,Not Available,Yes,Yes
2024-03-18T21:41:00Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-02-27T12:14:47Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-12T17:31:49Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-14T20:43:33Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-17T01:29:07Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-04-13T03:25:30Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
2024-03-21T23:11:19Z,Not Available,US,Kindle for iOS,Not Available,Yes,Yes
