created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-03-31T01:03:29Z,US,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-03-30T21:50:18Z,US,US,Kindle E-reader,Not Available,readingList,KPP_LIBRARY,Tap
2024-03-29T02:55:46Z,US,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-02T01:27:00Z,US,US,Kindle E-reader,Not Available,Furthest Page Read,In-Book,Tap
2024-04-15T00:46:11Z,US,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-03-30T01:04:20Z,US,US,Kindle E-reader,Not Available,familySharing,KPP_LIBRARY,Tap
2024-03-29T02:46:55Z,US,US,Kindle E-reader,Not Available,goodreads,KPP_HOME,Tap
2024-04-02T01:27:55Z,US,US,Kindle E-reader,B0BHLBHG79,Furthest Page Read,In-Book,Tap
2024-03-30T00:57:17Z,US,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
2024-04-02T01:27:16Z,US,US,Kindle E-reader,Not Available,settings,KPP_SETTINGS,Tap
