ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B006ID0CH4,"NOT AVAILABLE","NOT AVAILABLE",2019-01-14T00:00:00.00Z,"Enhanced TypeSetting",EINK,90C60706529300QE,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",3330440020,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07KWL5L8Y,"NOT AVAILABLE","NOT AVAILABLE",2019-03-08T00:00:00.00Z,"Enhanced TypeSetting",EINK,90C60706529300QE,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",3374520058,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B006ID0CH4,"NOT AVAILABLE","NOT AVAILABLE",2021-06-29T00:00:00.00Z,"Enhanced TypeSetting",IOS,"391232D6EBBE42E495E6239508CF8F26",US,"Enhanced TypeSetting","Shared content update is not supported",1185939556,Failed,2021-06-29T00:00:00.00Z,"Book revision update"
B006ID0CH4,"NOT AVAILABLE","NOT AVAILABLE",2021-06-29T00:00:00.00Z,"Enhanced TypeSetting",IOS,"391232D6EBBE42E495E6239508CF8F26","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1185939556,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07DZLJF1C,"NOT AVAILABLE","NOT AVAILABLE",2021-07-09T00:00:00.00Z,"Enhanced TypeSetting",IOS,"391232D6EBBE42E495E6239508CF8F26","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1185939556,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07KWL5L8Y,"NOT AVAILABLE","NOT AVAILABLE",2022-04-30T00:00:00.00Z,"Enhanced TypeSetting",IOS,"69907CF9FC8644BD8531BDBA0B623A42","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1189089280,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00KVRDACW,"NOT AVAILABLE","NOT AVAILABLE",2022-04-30T00:00:00.00Z,"Enhanced TypeSetting",IOS,"69907CF9FC8644BD8531BDBA0B623A42","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1189089280,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B084M5S1B4,"NOT AVAILABLE","NOT AVAILABLE",2024-02-24T00:00:00.00Z,Mobi,MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412106,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00ONUYEZA,"NOT AVAILABLE","NOT AVAILABLE",2024-02-24T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412106,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0B232HFC9,"NOT AVAILABLE","NOT AVAILABLE",2024-02-27T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412106,Failed,"NOT AVAILABLE","NOT AVAILABLE"
