created_timestamp,preferred_marketplace,device_family,card_name,item_clicked_on_ASIN,card_position,item_position_within_card
2024-03-14T20:51:05Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-29T02:53:53Z,US,Kindle for iOS,,,12,1
2024-04-11T06:15:22Z,US,Kindle for iOS,Reading Insights,,4,1
2024-04-04T18:23:41Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-28T02:38:01Z,US,Kindle for iOS,,,1,1
2024-04-11T06:15:17Z,US,Kindle for iOS,Reading Insights,,4,1
2024-04-11T14:07:14Z,US,Kindle for iOS,Reading Insights,,4,1
2024-02-25T23:57:56Z,US,Kindle for iOS,Reading Insights,,5,1
2024-04-11T21:25:02Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-11T07:04:43Z,US,Kindle for iOS,,B09P5GT746,10,4
2024-02-26T00:13:18Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-30T00:38:32Z,US,Kindle for iOS,More like [book title],B07H3CX9JR,9,22
2024-03-11T06:54:30Z,US,Kindle for iOS,,,9,1
2024-03-16T01:31:20Z,US,Kindle for iOS,More like your recent books,B08QDDC1Q9,4,8
2024-03-05T15:03:17Z,US,Kindle for iOS,More like your recent books,B093DQNY17,10,1
2024-02-26T00:16:58Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-29T20:56:37Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-03T07:30:03Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-30T00:38:18Z,US,Kindle for iOS,,B0CVRZZV88,8,3
2024-02-29T00:22:53Z,US,Kindle for iOS,,B0CFDCMPVC,4,1
2024-04-06T19:59:44Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-23T02:35:07Z,US,Kindle for iOS,,,5,1
2024-03-16T01:31:08Z,US,Kindle for iOS,More like your recent books,B09NL6J4D6,4,7
2024-03-07T04:51:06Z,US,Kindle for iOS,More like [book title],B0CL1C4PM4,7,3
2024-03-05T15:04:18Z,US,Kindle for iOS,,,1,3
2024-04-04T19:45:13Z,US,Kindle for iOS,,,1,3
2024-03-28T21:22:47Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-10T18:51:59Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-11T07:00:23Z,US,Kindle for iOS,,B0CFD3FF6N,7,1
2024-03-11T07:04:01Z,US,Kindle for iOS,,,9,1
2024-03-28T21:23:00Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-25T08:31:10Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-28T21:24:21Z,US,Kindle for iOS,Reading Insights,,4,1
2024-02-24T18:50:01Z,US,Kindle for iOS,More like [book title],B0BNJMJ4K9,5,4
2024-02-24T02:50:15Z,US,Kindle for iOS,,,4,1
2024-03-31T15:19:02Z,US,Kindle for iOS,Reading Insights,,4,1
2024-02-25T06:33:35Z,US,Kindle for iOS,More like [book title],B08K62VYDJ,5,3
2024-02-24T02:50:20Z,US,Kindle for iOS,,,4,1
2024-04-04T19:45:17Z,US,Kindle for iOS,,B08C7ZR2JZ,4,1
2024-03-29T02:55:09Z,US,Kindle for iOS,,,16,1
2024-03-28T21:24:11Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-22T12:40:05Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-03T07:30:07Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-11T06:53:48Z,US,Kindle for iOS,,,1,3
2024-04-15T00:29:23Z,US,Kindle for iOS,Reading Insights,,4,1
2024-04-04T18:23:39Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-17T01:29:25Z,US,Kindle for iOS,Reading Insights,,5,1
2024-04-11T14:07:16Z,US,Kindle for iOS,Reading Insights,,4,1
2024-02-24T02:41:06Z,US,Kindle for iOS,,,4,1
2024-04-09T18:41:10Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-11T20:53:07Z,US,Kindle for iOS,,,1,1
2024-04-04T21:48:09Z,US,Kindle for iOS,,,1,2
2024-03-11T07:04:58Z,US,Kindle for iOS,,,9,1
2024-04-15T04:07:48Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-25T15:29:42Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-16T14:41:30Z,US,Kindle for iOS,,,1,3
2024-02-27T12:13:33Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-10T18:52:01Z,US,Kindle for iOS,Reading Insights,,4,1
2024-03-29T20:56:33Z,US,Kindle for iOS,Reading Insights,,4,1
2024-02-26T00:16:57Z,US,Kindle for iOS,,,6,1
2024-04-14T03:59:03Z,US,Kindle for iOS,,B0CNGBQRC5,6,1
2024-03-11T06:53:14Z,US,Kindle for iOS,,,1,4
2024-04-06T19:59:46Z,US,Kindle for iOS,Reading Insights,,5,1
2024-04-14T03:58:38Z,US,Kindle for iOS,Reading Insights,,5,1
2024-03-05T15:26:49Z,US,Kindle for iOS,,,1,1
2024-04-08T02:05:00Z,US,Kindle for iOS,Reading Insights,,5,1
