created_timestamp,preferred_marketplace,device_family,card_name,card_position
2022-04-30T15:47:38Z,US,Kindle for iOS,,3
2022-04-30T15:58:35Z,US,Kindle for iOS,,2
2022-04-30T15:58:35Z,US,Kindle for iOS,,3
2022-04-30T15:58:34Z,US,Kindle for iOS,,2
2022-04-30T15:49:08Z,US,Kindle for iOS,,3
2022-04-30T15:58:35Z,US,Kindle for iOS,,4
2022-04-30T15:49:08Z,US,Kindle for iOS,,2
2022-04-30T15:47:38Z,US,Kindle for iOS,,2
2022-04-30T15:58:34Z,US,Kindle for iOS,,4
2022-04-30T15:58:34Z,US,Kindle for iOS,,3
2024-04-04T21:48:04Z,US,Kindle for iOS,,4
2024-03-03T07:26:18Z,US,Kindle for iOS,Reading Insights,4
2024-03-07T05:09:25Z,US,Kindle for iOS,,16
2024-03-25T09:37:37Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T13:58:17Z,US,Kindle for iOS,Upcoming releases for you,10
2024-03-11T01:32:40Z,US,Kindle for iOS,More like [book title],5
2024-03-25T00:49:10Z,US,Kindle for iOS,,2
2024-03-16T14:41:34Z,US,Kindle for iOS,,2
2024-03-11T06:53:53Z,US,Kindle for iOS,,6
2024-04-03T03:55:54Z,US,Kindle for iOS,,4
2024-03-18T03:12:16Z,US,Kindle for iOS,More like your recent books,4
2024-03-12T20:20:02Z,US,Kindle for iOS,Reading Insights,4
2024-03-07T10:48:32Z,US,Kindle for iOS,Reading Insights,4
2024-03-07T05:09:15Z,US,Kindle for iOS,Upcoming releases for you,10
2024-03-08T18:13:26Z,US,Kindle for iOS,,2
2024-03-11T07:00:20Z,US,Kindle for iOS,,10
2024-03-25T08:30:30Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T12:40:18Z,US,Kindle for iOS,,12
2024-03-29T13:58:18Z,US,Kindle for iOS,,5
2024-03-23T20:11:55Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T18:23:36Z,US,Kindle for iOS,,4
2024-03-07T10:48:32Z,US,Kindle for iOS,More like [book title],5
2024-04-03T19:24:05Z,US,Kindle for iOS,,2
2024-03-03T17:28:29Z,US,Kindle for iOS,,2
2024-02-26T00:13:21Z,US,Kindle for iOS,,6
2024-03-11T07:00:22Z,US,Kindle for iOS,,7
2024-03-04T10:06:38Z,US,Kindle for iOS,Reading Insights,4
2024-03-03T07:30:00Z,US,Kindle for iOS,Reading Insights,4
2024-03-31T01:05:37Z,US,Kindle for iOS,Reading Insights,4
2024-03-18T04:00:19Z,US,Kindle for iOS,More like your recent books,4
2024-03-11T03:57:57Z,US,Kindle for iOS,More like [book title],6
2024-04-06T19:59:43Z,US,Kindle for iOS,,4
2024-03-30T19:39:33Z,US,Kindle for iOS,,2
2024-04-04T23:29:51Z,US,Kindle for iOS,,4
2024-04-11T14:07:24Z,US,Kindle for iOS,,5
2024-03-11T07:03:50Z,US,Kindle for iOS,,7
2024-04-11T14:08:20Z,US,Kindle for iOS,,2
2024-03-30T21:32:57Z,US,Kindle for iOS,Reading Insights,4
2024-03-10T18:50:41Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T19:06:27Z,US,Kindle for iOS,,4
2024-04-01T02:28:37Z,US,Kindle for iOS,,2
2024-03-11T07:04:54Z,US,Kindle for iOS,,13
2024-03-07T04:50:48Z,US,Kindle for iOS,More like [book title],6
2024-04-04T19:07:20Z,US,Kindle for iOS,,4
2024-03-14T20:50:27Z,US,Kindle for iOS,More like your recent books,4
2024-04-13T12:39:05Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T12:40:18Z,US,Kindle for iOS,,11
2024-03-27T02:17:57Z,US,Kindle for iOS,Reading Insights,4
2024-03-01T05:48:18Z,US,Kindle for iOS,,2
2024-03-03T07:26:01Z,US,Kindle for iOS,Reading Insights,4
2024-03-25T09:37:37Z,US,Kindle for iOS,,5
2024-03-10T22:49:58Z,US,Kindle for iOS,,5
2024-02-24T14:31:01Z,US,Kindle for iOS,,4
2024-04-04T19:08:10Z,US,Kindle for iOS,,4
2024-03-29T02:53:10Z,US,Kindle for iOS,,9
2024-03-11T07:04:37Z,US,Kindle for iOS,,9
2024-03-07T05:09:13Z,US,Kindle for iOS,More like [book title],7
2024-03-31T05:02:09Z,US,Kindle for iOS,,2
2024-03-30T00:41:38Z,US,Kindle for iOS,Reading Insights,4
2024-03-23T02:35:14Z,US,Kindle for iOS,Reading Insights,4
2024-03-01T02:26:18Z,US,Kindle for iOS,,2
2024-04-14T03:58:43Z,US,Kindle for iOS,,7
2024-04-09T18:37:28Z,US,Kindle for iOS,,2
2024-03-05T15:26:35Z,US,Kindle for iOS,,4
2024-03-03T07:25:28Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T13:58:11Z,US,Kindle for iOS,,13
2024-04-02T00:31:46Z,US,Kindle for iOS,,2
2024-03-30T00:41:38Z,US,Kindle for iOS,,7
2024-03-02T16:40:12Z,US,Kindle for iOS,,2
2024-03-29T20:56:32Z,US,Kindle for iOS,Reading Insights,4
