Surface,Timestamp,Activity,CampaignName,DisplayStatus
PC,02/26/2022 18:17,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/01/2022 19:46,RECEIVED,tips,InApp notification sent.
iOS,04/27/2022 19:09,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/06/2022 19:24,RECEIVED,tips,InApp notification sent.
iOS,06/10/2022 20:04,RECEIVED,tips,InApp notification sent.
iOS,06/03/2022 23:04,RECEIVED,kindle_recommends,InApp notification sent.
iOS,06/03/2022 17:20,RECEIVED,tips,InApp notification sent.
PC,04/27/2022 19:09,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/15/2022 17:05,RECEIVED,kindle_recommends,InApp notification sent.
PC,07/11/2021 18:22,RECEIVED,kindle_recommends,InApp notification sent.
PC,01/07/2022 18:16,RECEIVED,kindle_recommends,InApp notification sent.
iOS,01/07/2022 18:16,RECEIVED,kindle_recommends,InApp notification sent.
Fire OS,07/11/2021 18:22,RECEIVED,kindle_recommends,InApp notification sent.
PC,05/26/2022 23:21,RECEIVED,kindle_recommends,InApp notification sent.
iOS,04/23/2023 17:20,RECEIVED,kindle_recommends,InApp notification sent.
PC,06/03/2022 23:04,RECEIVED,kindle_recommends,InApp notification sent.
PC,04/29/2022 17:38,RECEIVED,kindle_recommends,InApp notification sent.
Android,07/25/2021 18:35,RECEIVED,special_deals,InApp notification sent.
iOS,03/26/2023 18:08,RECEIVED,kindle_recommends,InApp notification sent.
iOS,05/26/2022 23:21,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/11/2022 18:48,RECEIVED,tips,InApp notification sent.
iOS,02/26/2022 18:17,RECEIVED,kindle_recommends,InApp notification sent.
iOS,04/15/2022 17:25,RECEIVED,tips,InApp notification sent.
Android,01/07/2022 18:16,RECEIVED,kindle_recommends,InApp notification sent.
iOS,02/23/2022 18:18,RECEIVED,kindle_recommends,InApp notification sent.
PC,06/18/2023 18:48,RECEIVED,kindle_recommends,InApp notification sent.
PC,03/26/2023 18:08,RECEIVED,kindle_recommends,InApp notification sent.
Fire OS,01/07/2022 18:16,RECEIVED,kindle_recommends,InApp notification sent.
PC,07/02/2023 18:58,RECEIVED,kindle_recommends,InApp notification sent.
PC,04/23/2023 17:20,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/01/2022 21:20,RECEIVED,kindle_recommends,InApp notification sent.
iOS,05/06/2022 18:22,RECEIVED,tips,InApp notification sent.
iOS,07/11/2021 18:22,RECEIVED,kindle_recommends,InApp notification sent.
iOS,02/05/2023 19:35,RECEIVED,kindle_recommends,InApp notification sent.
PC,05/07/2023 18:28,RECEIVED,kindle_recommends,InApp notification sent.
iOS,05/20/2022 18:38,RECEIVED,tips,InApp notification sent.
iOS,04/01/2022 22:28,RECEIVED,tips,InApp notification sent.
PC,02/05/2023 19:35,RECEIVED,kindle_recommends,InApp notification sent.
iOS,04/29/2022 17:38,RECEIVED,kindle_recommends,InApp notification sent.
iOS,06/28/2022 19:56,RECEIVED,tips,InApp notification sent.
Android,07/11/2021 18:22,RECEIVED,kindle_recommends,InApp notification sent.
iOS,07/20/2022 22:27,RECEIVED,tips,InApp notification sent.
PC,02/23/2022 18:18,RECEIVED,kindle_recommends,InApp notification sent.
iOS,04/21/2022 18:46,RECEIVED,tips,InApp notification sent.
