asin,end_time,reading_marketplace,start_time,total_reading_milliseconds
B01MSWC05T,2024-04-14T16:01:50.800Z,US,2024-04-14T16:01:46.600Z,4200
B01MSWC05T,2024-04-14T16:02:02.500Z,US,2024-04-14T16:01:56.300Z,6200
B0778CV9Y4,2024-04-14T16:23:03.000Z,US,2024-04-14T16:02:05.800Z,1257200
B0778CV9Y4,2024-04-14T17:23:38.600Z,US,2024-04-14T17:21:55.600Z,103000
B0778CV9Y4,2024-04-14T17:26:47.900Z,US,2024-04-14T17:23:47.900Z,180000
B0778CV9Y4,2024-04-14T17:29:50.700Z,US,2024-04-14T17:27:18.100Z,152600
B0778CV9Y4,2024-04-14T17:31:50.300Z,US,2024-04-14T17:29:55.900Z,114400
B0778CV9Y4,2024-04-14T17:37:35.800Z,US,2024-04-14T17:37:34.100Z,1700
B0778CV9Y4,2024-04-14T17:39:34.000Z,US,2024-04-14T17:39:21.900Z,12100
B0778CV9Y4,2024-04-14T18:23:59.700Z,US,2024-04-14T18:21:41.900Z,137800
B0778CV9Y4,2024-04-14T18:24:03.000Z,US,2024-04-14T18:24:00.800Z,2200
B0778CV9Y4,2024-04-14T18:26:54.200Z,US,2024-04-14T18:24:20.400Z,153800
B0778CV9Y4,2024-04-14T18:33:00.600Z,US,2024-04-14T18:30:38.300Z,142300
B0778CV9Y4,2024-04-14T18:34:27.000Z,US,2024-04-14T18:33:30.900Z,56100
B0778CV9Y4,2024-04-14T18:46:39.200Z,US,2024-04-14T18:41:57.600Z,281600
B0778CV9Y4,2024-04-14T18:47:41.500Z,US,2024-04-14T18:46:39.400Z,62100
B0778CV9Y4,2024-04-14T19:02:59.800Z,US,2024-04-14T18:48:07.900Z,891900
B0778CV9Y4,2024-04-14T19:05:26.800Z,US,2024-04-14T19:04:57.500Z,29300
B0778CV9Y4,2024-04-14T19:08:45.300Z,US,2024-04-14T19:06:31.800Z,133500
B0778CV9Y4,2024-04-14T19:33:23.400Z,US,2024-04-14T19:13:34.500Z,1188900
B0778CV9Y4,2024-04-14T19:49:53.883Z,US,2024-04-14T19:49:53.883Z,
B0778CV9Y4,2024-04-15T00:45:49.100Z,US,2024-04-15T00:45:47.500Z,1600
B075HXST4P,2024-04-15T05:25:18.800Z,US,2024-04-15T05:24:53.300Z,25500
B006ID0CH4,2019-01-14T13:50:06.800Z,US,2019-01-14T13:49:37.900Z,28900
B07KWL5L8Y,2019-02-14T05:27:26.200Z,US,2019-02-14T05:26:53.400Z,32800
B07KWL5L8Y,2019-02-14T05:44:59.900Z,US,2019-02-14T05:27:43.600Z,1036300
B07KWL5L8Y,2019-02-17T20:53:13.900Z,US,2019-02-17T19:55:22.100Z,3471800
B07KWL5L8Y,2019-02-17T20:54:29.200Z,US,2019-02-17T20:53:17.600Z,71600
B07KWL5L8Y,2019-02-17T21:12:03.100Z,US,2019-02-17T20:57:11.400Z,891700
B07KWL5L8Y,2019-02-22T10:59:44.700Z,US,2019-02-22T10:59:37.600Z,7100
B07KWL5L8Y,2019-02-22T21:15:27.500Z,US,2019-02-22T21:04:27.100Z,660400
B07KWL5L8Y,2019-03-01T17:13:19Z,US,2019-03-01T17:03:18.200Z,600800
B07KWL5L8Y,2019-03-01T19:29:36.700Z,US,2019-03-01T19:28:45Z,51700
B07KWL5L8Y,2019-03-01T21:59:10.400Z,US,2019-03-01T21:49:09.600Z,600800
B07KWL5L8Y,2019-03-02T02:38:29Z,US,2019-03-02T02:28:28.200Z,600800
B07KWL5L8Y,2019-03-03T02:35:13.100Z,US,2019-03-03T02:25:12.200Z,600900
B07KWL5L8Y,2019-03-04T18:53:20.300Z,US,2019-03-04T18:43:19.500Z,600800
B07DZLJF1C,2021-06-30T02:59:59.600Z,US,2021-06-30T02:59:43.400Z,16200
B006ID0CH4,2021-06-29T23:27:44Z,US,2021-06-29T23:27:32.700Z,11300
B07DZLJF1C,2021-06-29T23:26:34Z,US,2021-06-29T23:26:13.900Z,20100
B07DZLJF1C,2021-06-30T03:34:33.600Z,US,2021-06-30T03:00:10Z,2063600
B006ID0CH4,2021-06-29T23:27:25.300Z,US,2021-06-29T23:27:12.300Z,13000
B07DZLJF1C,2021-06-30T02:57:52.700Z,US,2021-06-30T02:33:30.500Z,1462200
B07DZLJF1C,2021-06-30T02:59:08.400Z,US,2021-06-30T02:58:18.900Z,49500
B07DZLJF1C,2021-06-29T23:35:37.600Z,US,2021-06-29T23:27:48.300Z,469300
B07DZLJF1C,2021-07-03T19:02:38.500Z,US,2021-07-03T19:02:36.500Z,2000
B07DZLJF1C,2021-07-08T23:52:35.500Z,US,2021-07-08T23:50:13.300Z,142200
B07KWL5L8Y,2022-04-30T15:41:04.200Z,US,2022-04-30T15:40:54.800Z,9400
B00KVRDACW,2022-04-30T16:56:26Z,US,2022-04-30T16:19:40.600Z,2205400
B00KVRDACW,2022-04-30T17:05:08.862Z,US,2022-04-30T17:05:08.862Z,0
B07KWL5L8Y,2022-04-30T15:49:08.700Z,US,2022-04-30T15:47:38.700Z,90000
B00KVRDACW,2022-04-30T16:19:32.200Z,US,2022-04-30T15:59:44.300Z,1187900
B00KVRDACW,2022-04-30T17:05:10.300Z,US,2022-04-30T17:04:55.800Z,14500
B00ONUYEZA,2024-02-23T23:30:05.900Z,US,2024-02-23T23:28:31.200Z,94700
B00ONUYEZA,2024-02-24T02:17:06.800Z,US,2024-02-24T02:13:53.400Z,193400
B08K62VYDJ,2024-02-24T15:09:46.300Z,US,2024-02-24T14:32:32.100Z,2234200
B0CB1RMZRC,2024-02-24T03:08:31.938Z,US,2024-02-24T03:08:31.938Z,0
B0CB1RMZRC,2024-02-24T03:16:15.750Z,US,2024-02-24T03:16:15.750Z,0
B0CL7GMPD4,2024-02-24T02:54:50.600Z,US,2024-02-24T02:54:17.800Z,32800
B0CB1RMZRC,2024-02-24T08:47:18.400Z,US,2024-02-24T08:36:43Z,635400
B00ONUYEZA,2024-02-24T02:40:01.200Z,US,2024-02-24T02:39:58Z,3200
B084M5S1B4,2024-02-23T22:22:58Z,US,2024-02-23T22:22:56.400Z,1600
B0CB1RMZRC,2024-02-24T08:49:42Z,US,2024-02-24T08:49:20.300Z,21700
B084M5S1B4,2024-02-23T22:23:08.300Z,US,2024-02-23T22:23:06.800Z,1500
B00ONUYEZA,2024-02-23T22:47:13.400Z,US,2024-02-23T22:34:13.700Z,779700
B0CB1RMZRC,2024-02-24T14:31:08.500Z,US,2024-02-24T14:31:01.900Z,6600
B00ONUYEZA,2024-02-23T23:33:55Z,US,2024-02-23T23:33:53Z,2000
B09S1CMMBT,2024-02-24T21:17:32.300Z,US,2024-02-24T20:52:53.900Z,1478400
B08K62VYDJ,2024-02-24T16:28:11.200Z,US,2024-02-24T16:24:47.800Z,203400
B08K62VYDJ,2024-02-24T17:04:52.200Z,US,2024-02-24T17:02:48.500Z,123700
B08K62VYDJ,2024-02-24T18:12:47.100Z,US,2024-02-24T18:12:45.200Z,1900
B09S1CMMBT,2024-02-25T01:02:45.200Z,US,2024-02-25T01:01:32.500Z,72700
B09S1CMMBT,2024-02-25T04:45:55.100Z,US,2024-02-25T04:35:09.200Z,645900
B07XQK3SGQ,2024-02-24T19:36:36.300Z,US,2024-02-24T19:36:33.200Z,3100
B07XQK3SGQ,2024-02-24T19:23:56.700Z,US,2024-02-24T19:23:53.400Z,3300
B07XQK3SGQ,2024-02-24T19:48:21.600Z,US,2024-02-24T19:36:41Z,700600
B09S1CMMBT,2024-02-24T22:55:36.400Z,US,2024-02-24T22:53:54.200Z,102200
B07XQK3SGQ,2024-02-24T19:34:19.400Z,US,2024-02-24T19:24:00.400Z,619000
B09S1CMMBT,2024-02-24T21:54:09.100Z,US,2024-02-24T21:33:40.500Z,1228600
B09S1CMMBT,2024-02-24T22:56:38.400Z,US,2024-02-24T22:55:37.900Z,60500
B09S1CMMBT,2024-02-25T01:18:08.200Z,US,2024-02-25T01:16:45.100Z,83100
B08K62VYDJ,2024-02-24T16:09:36.200Z,US,2024-02-24T16:01:27Z,489200
B09S1CMMBT,2024-02-24T22:40:11.100Z,US,2024-02-24T22:37:04.900Z,186200
B0B232HFC9,2024-02-25T15:13:32.600Z,US,2024-02-25T15:09:20.900Z,251700
B09S1CMMBT,2024-02-24T23:00:20.700Z,US,2024-02-24T22:58:42.600Z,98100
B09S1CMMBT,2024-02-24T22:51:59.500Z,US,2024-02-24T22:41:12.800Z,646700
B09S1CMMBT,2024-02-25T03:48:27.566Z,US,2024-02-25T03:48:27.566Z,0
B09S1CMMBT,2024-02-25T02:48:33.100Z,US,2024-02-25T02:48:26.400Z,6700
B0B232HFC9,2024-02-25T15:08:16.600Z,US,2024-02-25T15:05:16.400Z,180200
B07XQK3SGQ,2024-02-24T19:23:09.700Z,US,2024-02-24T19:04:36.500Z,1113200
B09S1CMMBT,2024-02-25T03:10:00.600Z,US,2024-02-25T03:02:37.800Z,442800
B08K62VYDJ,2024-02-24T15:58:53.100Z,US,2024-02-24T15:52:57.100Z,356000
B08K62VYDJ,2024-02-24T16:24:38.100Z,US,2024-02-24T16:17:51Z,407100
B09S1CMMBT,2024-02-25T03:02:32.300Z,US,2024-02-25T02:48:41.200Z,831100
B09S1CMMBT,2024-02-25T03:27:28.100Z,US,2024-02-25T03:11:01.600Z,986500
B09S1CMMBT,2024-02-25T06:17:43.400Z,US,2024-02-25T05:04:08.700Z,4414700
B08K62VYDJ,2024-02-24T16:42:45.400Z,US,2024-02-24T16:37:56.900Z,288500
B09S1CMMBT,2024-02-25T03:46:27.200Z,US,2024-02-25T03:28:12.200Z,1095000
B08K62VYDJ,2024-02-24T16:37:40.700Z,US,2024-02-24T16:28:36.600Z,544100
B09S1CMMBT,2024-02-24T23:12:34.800Z,US,2024-02-24T23:07:51.900Z,282900
B09S1CMMBT,2024-02-25T01:13:54.800Z,US,2024-02-25T01:09:53Z,241800
B08K62VYDJ,2024-02-24T17:18:49.100Z,US,2024-02-24T17:16:40.900Z,128200
B08K62VYDJ,2024-02-24T15:49:58.200Z,US,2024-02-24T15:09:54.700Z,2403500
B09S1CMMBT,2024-02-25T04:20:14.401Z,US,2024-02-25T04:20:14.401Z,0
B09S1CMMBT,2024-02-24T23:19:34.200Z,US,2024-02-24T23:17:26Z,128200
B09S1CMMBT,2024-02-25T01:33:32.400Z,US,2024-02-25T01:32:27.300Z,65100
B09S1CMMBT,2024-02-25T02:05:03.500Z,US,2024-02-25T01:59:35.600Z,327900
B08K62VYDJ,2024-02-24T16:56:15.300Z,US,2024-02-24T16:55:44.100Z,31200
B09S1CMMBT,2024-02-24T21:33:10.700Z,US,2024-02-24T21:32:58.900Z,11800
B09S1CMMBT,2024-02-24T22:07:37.100Z,US,2024-02-24T21:54:59.200Z,757900
B08K62VYDJ,2024-02-24T16:58:33.900Z,US,2024-02-24T16:56:36.600Z,117300
B09S1CMMBT,2024-02-24T22:58:35.300Z,US,2024-02-24T22:58:14.400Z,20900
B09S1CMMBT,2024-02-25T01:01:15.400Z,US,2024-02-25T00:49:28.900Z,706500
B09S1CMMBT,2024-02-25T02:45:41.700Z,US,2024-02-25T02:25:38Z,1203700
B08K62VYDJ,2024-02-24T15:52:48.400Z,US,2024-02-24T15:51:16.600Z,91800
B08K62VYDJ,2024-02-24T17:09:37.900Z,US,2024-02-24T17:05:29.900Z,248000
B09CNFRZDC,2024-02-24T20:49:52.200Z,US,2024-02-24T20:41:41.800Z,490400
B09S1CMMBT,2024-02-25T01:27:58.200Z,US,2024-02-25T01:21:52.600Z,365600
B0B232HFC9,2024-02-25T14:55:01.300Z,US,2024-02-25T14:34:55.300Z,1206000
B08K62VYDJ,2024-02-24T18:32:30.767Z,US,2024-02-24T18:32:30.767Z,0
B09S1CMMBT,2024-02-24T22:09:27.500Z,US,2024-02-24T22:09:26Z,1500
B08K62VYDJ,2024-02-24T17:28:36.400Z,US,2024-02-24T17:19:11.200Z,565200
B09S1CMMBT,2024-02-25T01:03:48.800Z,US,2024-02-25T01:03:15.400Z,33400
B09S1CMMBT,2024-02-24T22:14:49.600Z,US,2024-02-24T22:14:03Z,46600
